Time (s),MLR (g/m2/s),T Back (K),T Top (K)
2.80E+02,1.42E-03,544.25011,609.33695
2.81E+02,1.43E-03,544.60029,609.53293
2.82E+02,1.43E-03,544.94915,609.72755
2.83E+02,1.44E-03,545.29611,609.92066
2.84E+02,1.45E-03,545.64197,610.11205
2.85E+02,1.45E-03,545.98648,610.30171
2.86E+02,1.46E-03,546.32917,610.48991
2.87E+02,1.47E-03,546.67093,610.67685
2.88E+02,1.47E-03,547.01132,610.86223
2.89E+02,1.48E-03,547.35004,611.04594
2.90E+02,1.49E-03,547.68793,611.22807
2.91E+02,1.49E-03,548.02447,611.40884
2.92E+02,1.50E-03,548.35939,611.58836
2.93E+02,1.51E-03,548.69357,611.76637
2.94E+02,1.51E-03,549.02643,611.94282
2.95E+02,1.52E-03,549.35777,612.11777
2.96E+02,1.53E-03,549.68843,612.29141
2.97E+02,1.53E-03,550.0179,612.46378
2.98E+02,1.54E-03,550.34592,612.63474
2.99E+02,1.55E-03,550.67331,612.80432
3.00E+02,1.55E-03,550.99957,612.97248
3.01E+02,1.56E-03,551.32437,613.13925
3.02E+02,1.56E-03,551.64856,613.30473
3.03E+02,1.57E-03,551.9718,613.46906
3.04E+02,1.58E-03,552.29363,613.63209
3.05E+02,1.58E-03,552.61483,613.79374
3.06E+02,1.59E-03,552.93521,613.95395
3.07E+02,1.59E-03,553.25418,614.11285
3.08E+02,1.60E-03,553.57248,614.27073
3.09E+02,1.61E-03,553.89013,614.42751
3.10E+02,1.61E-03,554.20643,614.58295
3.11E+02,1.62E-03,554.52198,614.73697
3.12E+02,1.62E-03,554.83702,614.88971
3.13E+02,1.63E-03,555.15077,615.04131
3.14E+02,1.64E-03,555.46365,615.19202
3.15E+02,1.64E-03,555.77614,615.34155
3.16E+02,1.65E-03,556.08751,615.48974
3.17E+02,1.65E-03,556.39788,615.63661
3.18E+02,1.66E-03,556.7079,615.78235
3.19E+02,1.66E-03,557.01698,615.92702
3.20E+02,1.67E-03,557.32492,616.07077
3.21E+02,1.67E-03,557.63247,616.21339
3.22E+02,1.68E-03,557.93933,616.35478
3.23E+02,1.69E-03,558.24501,616.49499
3.24E+02,1.69E-03,558.55015,616.63407
3.25E+02,1.70E-03,558.85482,616.77211
3.26E+02,1.70E-03,559.15833,616.90918
3.27E+02,1.71E-03,559.46107,617.04536
3.28E+02,1.71E-03,559.76351,617.18035
3.29E+02,1.72E-03,560.06496,617.31422
3.30E+02,1.72E-03,560.36546,617.44699
3.31E+02,1.73E-03,560.66564,617.57877
3.32E+02,1.73E-03,560.96506,617.70957
3.33E+02,1.74E-03,561.26334,617.83945
3.34E+02,1.74E-03,561.56117,617.96835
3.35E+02,1.75E-03,561.85853,618.09622
3.36E+02,1.76E-03,562.1548,618.22315
3.37E+02,1.76E-03,562.45032,618.349
3.38E+02,1.77E-03,562.74553,618.47388
3.39E+02,1.77E-03,563.03979,618.59773
3.40E+02,1.78E-03,563.33304,618.72072
3.41E+02,1.78E-03,563.62593,618.84296
3.42E+02,1.79E-03,563.91818,618.96429
3.43E+02,1.79E-03,564.20932,619.08463
3.44E+02,1.80E-03,564.49985,619.2039
3.45E+02,1.80E-03,564.78997,619.32216
3.46E+02,1.81E-03,565.07907,619.43953
3.47E+02,1.81E-03,565.36721,619.5561
3.48E+02,1.82E-03,565.65499,619.67212
3.49E+02,1.82E-03,565.94203,619.78717
3.50E+02,1.83E-03,566.22795,619.90126
3.51E+02,1.83E-03,566.51328,620.01437
3.52E+02,1.84E-03,566.79812,620.12651
3.53E+02,1.84E-03,567.0819,620.23786
3.54E+02,1.85E-03,567.36472,620.34844
3.55E+02,1.86E-03,567.6471,620.45827
3.56E+02,1.86E-03,567.92873,620.56748
3.57E+02,1.87E-03,568.20919,620.67573
3.58E+02,1.87E-03,568.48896,620.78305
3.59E+02,1.88E-03,568.76825,620.88954
3.60E+02,1.88E-03,569.04653,620.99516
3.61E+02,1.89E-03,569.32375,621.10007
3.62E+02,1.89E-03,569.60042,621.20423
3.63E+02,1.90E-03,569.8764,621.30758
3.64E+02,1.90E-03,570.15119,621.41034
3.65E+02,1.91E-03,570.4251,621.5123
3.66E+02,1.91E-03,570.69851,621.61344
3.67E+02,1.92E-03,570.97097,621.71378
3.68E+02,1.92E-03,571.24226,621.81338
3.69E+02,1.93E-03,571.51283,621.9122
3.70E+02,1.93E-03,571.78278,622.01027
3.71E+02,1.94E-03,572.05161,622.10764
3.72E+02,1.95E-03,572.31933,622.20429
3.73E+02,1.95E-03,572.58639,622.30042
3.74E+02,1.96E-03,572.8527,622.39573
3.75E+02,1.96E-03,573.11782,622.49032
3.76E+02,1.97E-03,573.38193,622.58423
3.77E+02,1.97E-03,573.6454,622.67742
3.78E+02,1.98E-03,573.90796,622.76989
3.79E+02,1.98E-03,574.16926,622.86164
3.80E+02,1.99E-03,574.42964,622.95266
3.81E+02,1.99E-03,574.68935,623.04297
3.82E+02,2.00E-03,574.94805,623.1328
3.83E+02,2.00E-03,575.2055,623.22212
3.84E+02,2.01E-03,575.46207,623.31079
3.85E+02,2.01E-03,575.71792,623.39873
3.86E+02,2.02E-03,575.97269,623.48598
3.87E+02,2.03E-03,576.22619,623.57242
3.88E+02,2.03E-03,576.47882,623.65818
3.89E+02,2.04E-03,576.7307,623.74334
3.90E+02,2.04E-03,576.98149,623.82791
3.91E+02,2.05E-03,577.23102,623.91197
3.92E+02,2.05E-03,577.47966,623.99564
3.93E+02,2.06E-03,577.72753,624.0787
3.94E+02,2.06E-03,577.97428,624.161
3.95E+02,2.07E-03,578.21975,624.24263
3.96E+02,2.07E-03,578.46431,624.32362
3.97E+02,2.08E-03,578.70808,624.40397
3.98E+02,2.08E-03,578.95078,624.48374
3.99E+02,2.09E-03,579.1922,624.563
4.00E+02,2.09E-03,579.43266,624.64174
4.01E+02,2.10E-03,579.67232,624.71988
4.02E+02,2.10E-03,579.91093,624.79744
4.03E+02,2.11E-03,580.14825,624.87461
4.04E+02,2.11E-03,580.38455,624.95114
4.05E+02,2.12E-03,580.62003,625.02709
4.06E+02,2.12E-03,580.85455,625.10245
