Time (s),Mass (g),HRR (kW/m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530.00,35.44,84.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534.80,35.20,82.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540.20,34.99,81.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545.00,34.80,82.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.80,34.55,81.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555.20,34.35,80.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560.00,34.17,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564.80,33.95,80.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570.20,33.76,80.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575.00,33.59,79.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579.80,33.38,77.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585.20,33.19,76.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590.00,33.03,77.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594.80,32.84,76.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600.20,32.69,68.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605.00,32.51,68.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609.80,32.34,69.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615.20,32.17,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620.00,32.03,70.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624.80,31.86,70.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630.20,31.72,69.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635.00,31.55,69.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639.80,31.39,69.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645.20,31.27,63.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650.00,31.09,64.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654.80,30.96,65.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660.20,30.84,65.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665.00,30.69,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669.80,30.56,64.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675.20,30.44,63.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680.00,30.31,63.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684.80,30.21,62.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690.20,30.06,57.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695.00,29.96,58.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699.80,29.86,60.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705.20,29.74,61.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710.00,29.63,60.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714.80,29.54,58.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720.20,29.43,57.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725.00,29.33,56.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729.80,29.23,56.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735.20,29.13,56.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740.00,29.03,55.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744.80,28.95,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750.20,28.86,54.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755.00,28.77,54.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759.80,28.67,54.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765.20,28.61,54.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770.00,28.52,55.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774.80,28.44,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780.20,28.37,48.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785.00,28.28,49.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789.80,28.21,51.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795.20,28.14,49.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.00,28.05,48.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804.80,27.99,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810.20,27.91,47.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815.00,27.86,49.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819.80,27.79,43.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825.20,27.72,43.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830.00,27.65,43.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834.80,27.60,44.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840.20,27.53,46.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.00,27.47,46.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849.80,27.41,46.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855.20,27.34,45.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860.00,27.28,44.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864.80,27.22,44.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870.20,27.16,43.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
