Time (s),m (g),T Back (K),T Top (K)
385,6.544728,1007.54,1048.89
386,6.52923,1007.71,1048.96
387,6.513804,1007.89,1049.02
388,6.498444,1008.06,1049.09
389,6.483156,1008.24,1049.15
390,6.46794,1008.41,1049.22
391,6.452784,1008.59,1049.28
392,6.4377,1008.76,1049.35
393,6.422688,1008.93,1049.41
394,6.407736,1009.1,1049.48
395,6.392856,1009.27,1049.54
396,6.378042,1009.44,1049.6
397,6.363294,1009.61,1049.67
398,6.348612,1009.78,1049.73
399,6.334002,1009.95,1049.79
400,6.319452,1010.12,1049.85
401,6.304968,1010.28,1049.92
402,6.290556,1010.45,1049.98
403,6.276204,1010.62,1050.04
404,6.261918,1010.78,1050.1
405,6.247698,1010.95,1050.16
406,6.233538,1011.11,1050.22
407,6.21945,1011.28,1050.28
408,6.205422,1011.44,1050.34
409,6.191454,1011.6,1050.4
410,6.177558,1011.77,1050.46
411,6.163716,1011.93,1050.52
412,6.149946,1012.09,1050.58
413,6.136236,1012.25,1050.64
414,6.122586,1012.41,1050.7
415,6.109002,1012.57,1050.75
416,6.095478,1012.73,1050.81
417,6.08202,1012.89,1050.87
418,6.068616,1013.05,1050.93
419,6.055278,1013.21,1050.98
420,6.042006,1013.36,1051.04
421,6.028788,1013.52,1051.1
422,6.015636,1013.68,1051.15
423,6.002538,1013.83,1051.21
424,5.9895054,1013.99,1051.27
425,5.9765316,1014.14,1051.32
426,5.9636178,1014.3,1051.38
427,5.950764,1014.45,1051.43
428,5.937969,1014.61,1051.49
429,5.9252334,1014.76,1051.54
430,5.9125572,1014.91,1051.6
431,5.8999392,1015.06,1051.65
432,5.88738,1015.21,1051.71
433,5.874879,1015.37,1051.76
434,5.8624356,1015.52,1051.81
435,5.8500504,1015.67,1051.87
436,5.8377228,1015.82,1051.92
437,5.8254522,1015.97,1051.97
438,5.8132386,1016.12,1052.03
439,5.8010826,1016.26,1052.08
440,5.7889824,1016.41,1052.13
441,5.7769392,1016.56,1052.18
442,5.7649524,1016.71,1052.24
443,5.7530208,1016.85,1052.29
444,5.7411456,1017,1052.34
445,5.7293256,1017.15,1052.39
446,5.7175608,1017.29,1052.44
447,5.7058518,1017.44,1052.49
448,5.6941968,1017.58,1052.54
449,5.682597,1017.73,1052.59
450,5.6710512,1017.87,1052.64
451,5.65956,1018.01,1052.69
452,5.6481222,1018.16,1052.74
453,5.636739,1018.3,1052.79
454,5.6254086,1018.44,1052.84
455,5.6141316,1018.58,1052.89
456,5.602908,1018.73,1052.94
457,5.5917372,1018.87,1052.99
458,5.5806192,1019.01,1053.04
459,5.5695534,1019.15,1053.08
460,5.5585398,1019.29,1053.13
461,5.5475784,1019.43,1053.18
462,5.5366692,1019.56,1053.23
463,5.525811,1019.7,1053.27
464,5.5150044,1019.84,1053.32
465,5.5042488,1019.98,1053.37
466,5.4935442,1020.12,1053.42
467,5.4828906,1020.25,1053.46
468,5.4722874,1020.39,1053.51
469,5.4617346,1020.53,1053.55
470,5.4512316,1020.66,1053.6
471,5.440779,1020.8,1053.65
472,5.4303756,1020.93,1053.69
473,5.420022,1021.07,1053.74
474,5.4097176,1021.2,1053.78
475,5.3994624,1021.33,1053.83
476,5.3892564,1021.47,1053.87
477,5.3790984,1021.6,1053.92
478,5.368989,1021.73,1053.96
479,5.3589282,1021.87,1054
480,5.3489154,1022,1054.05
481,5.33895,1022.13,1054.09
482,5.3290326,1022.26,1054.14
483,5.3191632,1022.39,1054.18
484,5.3093406,1022.52,1054.22
485,5.2995648,1022.65,1054.27
486,5.2898358,1022.78,1054.31
487,5.2801542,1022.91,1054.35
488,5.2705182,1023.04,1054.39
489,5.260929,1023.17,1054.44
490,5.2513854,1023.29,1054.48
491,5.2418886,1023.42,1054.52
492,5.2324368,1023.55,1054.56
493,5.2230306,1023.68,1054.6
494,5.2136694,1023.8,1054.64
495,5.2043538,1023.93,1054.68
496,5.1950826,1024.06,1054.73
497,5.1858564,1024.18,1054.77
498,5.1766746,1024.31,1054.81
499,5.1675372,1024.43,1054.85
500,5.1584442,1024.56,1054.89
501,5.149395,1024.68,1054.93
502,5.140389,1024.8,1054.97
503,5.1314274,1024.93,1055.01
504,5.122509,1025.05,1055.05
505,5.1136332,1025.17,1055.09
506,5.1048012,1025.3,1055.12
507,5.0960112,1025.42,1055.16
508,5.0872644,1025.54,1055.2
509,5.0785602,1025.66,1055.24
510,5.069898,1025.78,1055.28
511,5.0612778,1025.9,1055.32
512,5.0526996,1026.02,1055.36
513,5.0441628,1026.14,1055.39
514,5.035668,1026.26,1055.43
515,5.0272146,1026.38,1055.47
516,5.018802,1026.5,1055.51
517,5.0104308,1026.62,1055.54
518,5.0020998,1026.74,1055.58
519,4.9938102,1026.86,1055.62
520,4.9855608,1026.97,1055.65
521,4.977351,1027.09,1055.69
522,4.969182,1027.21,1055.73
523,4.9610532,1027.32,1055.76
524,4.9529634,1027.44,1055.8
525,4.9449138,1027.56,1055.83
526,4.9369032,1027.67,1055.87
527,4.9289316,1027.79,1055.91
528,4.9209996,1027.9,1055.94
529,4.9131066,1028.02,1055.98
530,4.905252,1028.13,1056.01
531,4.8974358,1028.25,1056.05
532,4.889658,1028.36,1056.08
533,4.8819186,1028.47,1056.12
534,4.874217,1028.59,1056.15
535,4.8665532,1028.7,1056.18
536,4.8589272,1028.81,1056.22
537,4.851339,1028.92,1056.25
538,4.843788,1029.04,1056.29
539,4.8362742,1029.15,1056.32
540,4.828797,1029.26,1056.35
541,4.821357,1029.37,1056.39
542,4.8139542,1029.48,1056.42
543,4.8065874,1029.59,1056.45
544,4.7992566,1029.7,1056.49
545,4.7919624,1029.81,1056.52
546,4.7847042,1029.92,1056.55
547,4.777482,1030.03,1056.58
548,4.7702958,1030.14,1056.62
549,4.7631444,1030.25,1056.65
550,4.756029,1030.36,1056.68
551,4.7489484,1030.46,1056.71
552,4.7419032,1030.57,1056.74
553,4.7348928,1030.68,1056.77
554,4.7279172,1030.79,1056.81
555,4.7209758,1030.89,1056.84
556,4.7140692,1031,1056.87
557,4.7071974,1031.11,1056.9
558,4.7003592,1031.21,1056.93
559,4.6935546,1031.32,1056.96
560,4.6867842,1031.42,1056.99
561,4.6800474,1031.53,1057.02
562,4.6733448,1031.63,1057.05
563,4.6666746,1031.74,1057.08
564,4.660038,1031.84,1057.11
565,4.6534344,1031.95,1057.14
566,4.6468638,1032.05,1057.17
567,4.6403262,1032.15,1057.2
568,4.633821,1032.26,1057.23
569,4.6273482,1032.36,1057.26
570,4.6209072,1032.46,1057.29
571,4.6144992,1032.56,1057.32
572,4.608123,1032.67,1057.35
573,4.6017786,1032.77,1057.37
574,4.5954654,1032.87,1057.4
575,4.5891846,1032.97,1057.43
576,4.582935,1033.07,1057.46
577,4.5767166,1033.17,1057.49
578,4.5705288,1033.27,1057.51
579,4.5643728,1033.37,1057.54
580,4.5582474,1033.47,1057.57
581,4.5521526,1033.57,1057.6
582,4.5460884,1033.67,1057.63
583,4.5400548,1033.77,1057.65
584,4.5340512,1033.87,1057.68
585,4.5280782,1033.97,1057.71
586,4.5221352,1034.07,1057.73
587,4.5162216,1034.16,1057.76
588,4.510338,1034.26,1057.79
589,4.5044838,1034.36,1057.81
590,4.4986596,1034.46,1057.84
591,4.4928642,1034.55,1057.87
592,4.4870982,1034.65,1057.89
593,4.481361,1034.75,1057.92
594,4.4756526,1034.84,1057.95
595,4.4699736,1034.94,1057.97
596,4.4643228,1035.04,1058
597,4.4587008,1035.13,1058.02
598,4.453107,1035.23,1058.05
599,4.4475414,1035.32,1058.07
600,4.442004,1035.42,1058.1
601,4.4364942,1035.51,1058.12
602,4.4310126,1035.6,1058.15
603,4.4255592,1035.7,1058.17
604,4.4201328,1035.79,1058.2
605,4.414734,1035.89,1058.22
606,4.4093622,1035.98,1058.25
607,4.404018,1036.07,1058.27
608,4.3987008,1036.16,1058.3
609,4.3934106,1036.26,1058.32
610,4.3881468,1036.35,1058.34
611,4.38291,1036.44,1058.37
612,4.3777002,1036.53,1058.39
613,4.3725162,1036.62,1058.41
614,4.3673592,1036.72,1058.44
615,4.3622274,1036.81,1058.46
616,4.3571226,1036.9,1058.49
617,4.3520436,1036.99,1058.51
618,4.3469898,1037.08,1058.53
619,4.3419624,1037.17,1058.55
620,4.3369602,1037.26,1058.58
621,4.3319838,1037.35,1058.6
622,4.327032,1037.44,1058.62
623,4.322106,1037.53,1058.65
624,4.3172052,1037.62,1058.67
625,4.312329,1037.7,1058.69
626,4.307478,1037.79,1058.71
627,4.3026516,1037.88,1058.73
628,4.2978498,1037.97,1058.76
629,4.2930726,1038.06,1058.78
630,4.28832,1038.14,1058.8
631,4.2835914,1038.23,1058.82
632,4.2788868,1038.32,1058.84
633,4.2742062,1038.41,1058.86
634,4.2695496,1038.49,1058.89
635,4.264917,1038.58,1058.91
636,4.2603084,1038.67,1058.93
637,4.2557226,1038.75,1058.95
638,4.2511608,1038.84,1058.97
639,4.2466224,1038.92,1058.99
640,4.2421074,1039.01,1059.01
641,4.2376152,1039.09,1059.03
642,4.2331458,1039.18,1059.05
643,4.2286998,1039.26,1059.07
644,4.2242766,1039.35,1059.09
645,4.2198756,1039.43,1059.11
646,4.2154974,1039.51,1059.13
647,4.211142,1039.6,1059.15
648,4.2068088,1039.68,1059.17
649,4.2024978,1039.77,1059.19
650,4.198209,1039.85,1059.21
651,4.1939424,1039.93,1059.23
652,4.1896974,1040.01,1059.25
653,4.185474,1040.1,1059.27
654,4.1812728,1040.18,1059.29
655,4.1770932,1040.26,1059.31
656,4.1729352,1040.34,1059.33
657,4.1687988,1040.42,1059.35
658,4.1646834,1040.5,1059.37
659,4.160589,1040.59,1059.39
660,4.1565162,1040.67,1059.41
661,4.1524638,1040.75,1059.43
662,4.148433,1040.83,1059.44
663,4.1444226,1040.91,1059.46
664,4.1404326,1040.99,1059.48
665,4.1364636,1041.07,1059.5
666,4.132515,1041.15,1059.52
667,4.1285868,1041.23,1059.54
668,4.124679,1041.31,1059.55
669,4.1207916,1041.39,1059.57
670,4.116924,1041.46,1059.59
671,4.1130762,1041.54,1059.61
672,4.1092488,1041.62,1059.63
673,4.1054412,1041.7,1059.64
674,4.1016528,1041.78,1059.66
675,4.0978842,1041.86,1059.68
676,4.0941354,1041.93,1059.7
677,4.0904058,1042.01,1059.71
678,4.086696,1042.09,1059.73
679,4.0830048,1042.16,1059.75
680,4.0793328,1042.24,1059.76
681,4.0756806,1042.32,1059.78
682,4.0720464,1042.39,1059.8
683,4.0684314,1042.47,1059.82
684,4.0648356,1042.55,1059.83
685,4.0612578,1042.62,1059.85
686,4.0576992,1042.7,1059.87
687,4.0541586,1042.77,1059.88
688,4.0506366,1042.85,1059.9
689,4.0471332,1042.92,1059.91
690,4.0436478,1043,1059.93
691,4.0401804,1043.07,1059.95
692,4.036731,1043.15,1059.96
693,4.0332996,1043.22,1059.98
694,4.0298862,1043.29,1059.99
695,4.0264908,1043.37,1060.01
696,4.0231128,1043.44,1060.03
697,4.0197522,1043.52,1060.04
698,4.0164096,1043.59,1060.06
699,4.0130844,1043.66,1060.07
700,4.009776,1043.73,1060.09
701,4.006485,1043.81,1060.1
702,4.0032114,1043.88,1060.12
703,3.9999552,1043.95,1060.13
704,3.9967158,1044.02,1060.15
705,3.9934932,1044.1,1060.16
706,3.9902874,1044.17,1060.18
707,3.9870984,1044.24,1060.19
708,3.9839262,1044.31,1060.21
709,3.9807702,1044.38,1060.22
710,3.977631,1044.45,1060.24
711,3.974508,1044.52,1060.25
712,3.9714018,1044.59,1060.27
713,3.9683118,1044.66,1060.28
714,3.9652374,1044.73,1060.3
715,3.9621798,1044.8,1060.31
716,3.9591378,1044.87,1060.33
717,3.956112,1044.94,1060.34
718,3.9531018,1045.01,1060.35
719,3.9501072,1045.08,1060.37
720,3.9471288,1045.15,1060.38
721,3.944166,1045.22,1060.4
722,3.9412182,1045.29,1060.41
723,3.9382866,1045.35,1060.42
724,3.93537,1045.42,1060.44
725,3.9324684,1045.49,1060.45
726,3.9295824,1045.56,1060.46
727,3.926712,1045.63,1060.48
728,3.923856,1045.69,1060.49
729,3.921015,1045.76,1060.5
730,3.9181896,1045.83,1060.52
731,3.9153786,1045.89,1060.53
732,3.9125826,1045.96,1060.54
733,3.909801,1046.03,1060.56
734,3.9070344,1046.09,1060.57
735,3.9042816,1046.16,1060.58
736,3.9015444,1046.23,1060.6
737,3.898821,1046.29,1060.61
738,3.896112,1046.36,1060.62
739,3.8934174,1046.42,1060.63
740,3.8907366,1046.49,1060.65
741,3.8880702,1046.55,1060.66
742,3.8854182,1046.62,1060.67
743,3.88278,1046.68,1060.69
744,3.8801556,1046.75,1060.7
745,3.877545,1046.81,1060.71
746,3.8749482,1046.87,1060.72
747,3.8723652,1046.94,1060.73
748,3.8697954,1047,1060.75
749,3.86724,1047.06,1060.76
750,3.8646978,1047.13,1060.77
751,3.8621688,1047.19,1060.78
752,3.859653,1047.25,1060.79
753,3.857151,1047.32,1060.81
754,3.8546622,1047.38,1060.82
755,3.852186,1047.44,1060.83
756,3.8497236,1047.5,1060.84
757,3.8472738,1047.57,1060.85
758,3.8448372,1047.63,1060.86
759,3.8424132,1047.69,1060.88
760,3.8400024,1047.75,1060.89
761,3.8376042,1047.81,1060.9
762,3.8352186,1047.87,1060.91
763,3.8328462,1047.93,1060.92
764,3.8304858,1048,1060.93
765,3.828138,1048.06,1060.94
766,3.8258028,1048.12,1060.96
767,3.8234796,1048.18,1060.97
768,3.8211696,1048.24,1060.98
769,3.818871,1048.3,1060.99
770,3.816585,1048.36,1061
771,3.814311,1048.42,1061.01
772,3.812049,1048.48,1061.02
773,3.809799,1048.53,1061.03
774,3.8075616,1048.59,1061.04
775,3.8053356,1048.65,1061.05
776,3.803121,1048.71,1061.06
777,3.800919,1048.77,1061.07
778,3.7987284,1048.83,1061.08
779,3.7965492,1048.89,1061.09
780,3.7943814,1048.94,1061.1
781,3.7922256,1049,1061.12
782,3.7900812,1049.06,1061.13
783,3.7879482,1049.12,1061.14
784,3.7858266,1049.17,1061.15
785,3.7837164,1049.23,1061.16
786,3.781617,1049.29,1061.17
787,3.7795296,1049.34,1061.18
788,3.7774524,1049.4,1061.19
789,3.7753866,1049.46,1061.2
790,3.7733322,1049.51,1061.21
791,3.7712886,1049.57,1061.22
792,3.7692558,1049.63,1061.22
793,3.7672338,1049.68,1061.23
794,3.7652226,1049.74,1061.24
795,3.7632222,1049.79,1061.25
796,3.761232,1049.85,1061.26
797,3.7592532,1049.9,1061.27
798,3.7572846,1049.96,1061.28
799,3.7553268,1050.01,1061.29
800,3.7533792,1050.07,1061.3
801,3.7514418,1050.12,1061.31
802,3.7495152,1050.17,1061.32
803,3.7475982,1050.23,1061.33
804,3.745692,1050.28,1061.34
805,3.743796,1050.34,1061.35
806,3.7419102,1050.39,1061.36
807,3.7400346,1050.44,1061.36
808,3.7381686,1050.5,1061.37
809,3.7363128,1050.55,1061.38
810,3.7344666,1050.6,1061.39
811,3.7326306,1050.65,1061.4
812,3.7308048,1050.71,1061.41
813,3.7289886,1050.76,1061.42
814,3.727182,1050.81,1061.43
815,3.725385,1050.86,1061.44
816,3.7235976,1050.92,1061.44
817,3.7218198,1050.97,1061.45
818,3.7200516,1051.02,1061.46
819,3.718293,1051.07,1061.47
820,3.7165434,1051.12,1061.48
821,3.714804,1051.17,1061.49
822,3.713073,1051.22,1061.49
823,3.7113522,1051.27,1061.5
824,3.7096398,1051.32,1061.51
825,3.707937,1051.37,1061.52
826,3.7062438,1051.42,1061.53
827,3.704559,1051.47,1061.54
828,3.7028838,1051.52,1061.54
829,3.701217,1051.57,1061.55
830,3.6995592,1051.62,1061.56
831,3.697911,1051.67,1061.57
832,3.6962712,1051.72,1061.58
833,3.6946404,1051.77,1061.58
834,3.693018,1051.82,1061.59
835,3.6914046,1051.87,1061.6
