wavenumber (cm-1),reflectivity (-)
1193.781396,0.08069923
1195.709961,0.08173189
1197.638525,0.08306085
1199.56709,0.08306672
1201.495654,0.0831715
1203.424219,0.08365583
1205.352783,0.08434103
1207.281348,0.08524801
1209.209912,0.08566237
1211.138477,0.08546703
1213.067041,0.08493845
1214.995605,0.08438152
1216.92417,0.08440547
1218.852734,0.0846661
1220.781299,0.08385397
1222.709863,0.08240674
1224.638428,0.0822024
1226.566992,0.08327282
1228.495557,0.08469202
1230.424121,0.0863422
1232.352686,0.08750742
1234.28125,0.08729591
1236.209814,0.08636623
1238.138379,0.0855432
1240.066943,0.08442308
1241.995508,0.083632
1243.924072,0.08469073
1245.852637,0.08621768
1247.781201,0.08629413
1249.709766,0.08574463
1251.63833,0.08493091
1253.566895,0.08322355
1255.495459,0.0813942
1257.424023,0.08125163
1259.352588,0.08341166
1261.281152,0.08540717
1263.209717,0.08482655
1265.138281,0.08335792
1267.066846,0.08265672
1268.99541,0.08109248
1270.923975,0.07877906
1272.852539,0.07913098
1274.781104,0.08225536
1276.709668,0.08448461
1278.638232,0.08464628
1280.566797,0.08424287
1282.495361,0.08372834
1284.423926,0.08327856
1286.35249,0.08408755
1288.281055,0.08613615
1290.209619,0.08766309
1292.138184,0.08834162
1294.066748,0.08878201
1295.995313,0.08827118
1297.923877,0.08690008
1299.852441,0.08569371
1301.781006,0.08451266
1303.70957,0.08391779
1305.638135,0.08540349
1307.566699,0.08756094
1309.495264,0.08799336
1311.423828,0.08756046
1313.352393,0.08651079
1315.280957,0.08424404
1317.209521,0.08319339
1319.138086,0.08414423
1321.06665,0.08414523
1322.995215,0.08341592
1324.923779,0.08480194
1326.852344,0.08704827
1328.780908,0.08788354
1330.709473,0.08818538
1332.638037,0.08765316
1334.566602,0.08549887
1336.495166,0.08332753
1338.42373,0.08358927
1340.352295,0.08679225
1342.280859,0.08928774
1344.209424,0.09018776
1346.137988,0.09154799
1348.066553,0.09261848
1349.995117,0.09111618
1351.923682,0.08843288
1353.852246,0.08728768
1355.780811,0.08770926
1357.709375,0.08870623
1359.637939,0.08946788
1361.566504,0.08839652
1363.495068,0.08454662
1365.423633,0.08148035
1367.352197,0.08163343
1369.280762,0.08301688
1371.209326,0.0834804
1373.137891,0.08363277
1375.066455,0.08305198
1376.99502,0.0823938
1378.923584,0.08431974
1380.852148,0.08679544
1382.780713,0.08704632
1384.709277,0.08737946
1386.637842,0.08937156
1388.566406,0.0904727
1390.494971,0.08995875
1392.423535,0.08940479
1394.3521,0.0896381
1396.280664,0.09149806
1398.209229,0.09505111
1400.137793,0.09790909
1402.066357,0.09758905
1403.994922,0.09434178
1405.923486,0.09033266
1407.852051,0.08864592
1409.780615,0.08934827
1411.70918,0.09064106
1413.637744,0.09207101
1415.566309,0.0948864
1417.494873,0.09858142
1419.423438,0.09780851
1421.352002,0.09258473
1423.280566,0.08882686
1425.209131,0.08716865
1427.137695,0.08665278
1429.06626,0.08697177
1430.994824,0.08703596
1432.923389,0.08615993
1434.851953,0.08559572
1436.780518,0.08661661
1438.709082,0.08794641
1440.637646,0.08788469
1442.566211,0.08713622
1444.494775,0.08649799
1446.42334,0.08654523
1448.351904,0.08732702
1450.280469,0.08720317
1452.209033,0.08554868
1454.137598,0.08386646
1456.066162,0.08516597
1457.994727,0.08922099
1459.923291,0.08970997
1461.851855,0.09057718
1463.78042,0.0927891
1465.708984,0.09399929
1467.637549,0.09401616
1469.566113,0.09435216
1471.494678,0.0950604
1473.423242,0.09615704
1475.351807,0.09761315
1477.280371,0.09953701
1479.208936,0.10217918
1481.1375,0.10528087
1483.066064,0.10745575
1484.994629,0.10869462
1486.923193,0.11193673
1488.851758,0.11749132
1490.780322,0.11615619
1492.708887,0.11104546
1494.637451,0.10896
1496.566016,0.10887818
1498.49458,0.10794725
1500.423145,0.10475112
1502.351709,0.09823137
1504.280273,0.0887484
1506.208838,0.07867464
1508.137402,0.08013648
1510.065967,0.08704595
1511.994531,0.09030054
1513.923096,0.09107499
