Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g),,,,,,,,,,,,,,,,,,W/g
99.0,372.15,4.9997,3.2497,,,,,,,,,,,,,,,,,,4.97E+00
99.3,372.45,4.9997,3.2566,,,,,,,,,,,,,,,,,,4.99E+00
99.6,372.75,4.9997,3.2582,,,,,,,,,,,,,,,,,,5.01E+00
99.9,373.05,4.9996,3.2649,,,,,,,,,,,,,,,,,,5.03E+00
100.2,373.35,4.9996,3.2670,,,,,,,,,,,,,,,,,,5.05E+00
100.5,373.65,4.9996,3.2740,,,,,,,,,,,,,,,,,,5.08E+00
100.8,373.95,4.9996,3.2756,,,,,,,,,,,,,,,,,,5.11E+00
101.1,374.25,4.9996,3.2823,,,,,,,,,,,,,,,,,,5.14E+00
101.4,374.55,4.9996,3.2841,,,,,,,,,,,,,,,,,,5.17E+00
101.7,374.85,4.9996,3.2915,,,,,,,,,,,,,,,,,,5.20E+00
102.0,375.15,4.9996,3.2931,,,,,,,,,,,,,,,,,,5.24E+00
102.3,375.45,4.9995,3.2999,,,,,,,,,,,,,,,,,,5.28E+00
102.6,375.75,4.9995,3.3016,,,,,,,,,,,,,,,,,,5.32E+00
102.9,376.05,4.9995,3.3091,,,,,,,,,,,,,,,,,,5.36E+00
103.2,376.35,4.9995,3.3107,,,,,,,,,,,,,,,,,,5.41E+00
103.5,376.65,4.9995,3.3175,,,,,,,,,,,,,,,,,,5.46E+00
103.8,376.95,4.9995,3.3193,,,,,,,,,,,,,,,,,,5.51E+00
104.1,377.25,4.9995,3.3268,,,,,,,,,,,,,,,,,,5.56E+00
104.4,377.55,4.9994,3.3284,,,,,,,,,,,,,,,,,,5.62E+00
104.7,377.85,4.9994,3.3353,,,,,,,,,,,,,,,,,,5.68E+00
105.0,378.15,4.9994,3.3371,,,,,,,,,,,,,,,,,,5.75E+00
105.3,378.45,4.9994,3.3446,,,,,,,,,,,,,,,,,,5.82E+00
105.6,378.75,4.9994,3.3463,,,,,,,,,,,,,,,,,,5.89E+00
105.9,379.05,4.9993,3.3531,,,,,,,,,,,,,,,,,,5.97E+00
106.2,379.35,4.9993,3.3550,,,,,,,,,,,,,,,,,,6.06E+00
106.5,379.65,4.9993,3.3625,,,,,,,,,,,,,,,,,,6.15E+00
106.8,379.95,4.9993,3.3639,,,,,,,,,,,,,,,,,,6.24E+00
107.1,380.25,4.9993,3.3711,,,,,,,,,,,,,,,,,,6.34E+00
107.4,380.55,4.9992,3.3730,,,,,,,,,,,,,,,,,,6.45E+00
107.7,380.85,4.9992,3.3806,,,,,,,,,,,,,,,,,,6.57E+00
108.0,381.15,4.9992,3.3821,,,,,,,,,,,,,,,,,,6.70E+00
108.3,381.45,4.9992,3.3901,,,,,,,,,,,,,,,,,,6.83E+00
108.6,381.75,4.9991,3.3919,,,,,,,,,,,,,,,,,,6.97E+00
108.9,382.05,4.9991,3.3988,,,,,,,,,,,,,,,,,,7.13E+00
109.2,382.35,4.9991,3.4003,,,,,,,,,,,,,,,,,,7.29E+00
109.5,382.65,4.9991,3.4084,,,,,,,,,,,,,,,,,,7.46E+00
109.8,382.95,4.9990,3.4102,,,,,,,,,,,,,,,,,,7.65E+00
110.1,383.25,4.9990,3.4172,,,,,,,,,,,,,,,,,,7.84E+00
110.4,383.55,4.9990,3.4187,,,,,,,,,,,,,,,,,,8.05E+00
110.7,383.85,4.9989,3.4268,,,,,,,,,,,,,,,,,,8.28E+00
111.0,384.15,4.9989,3.4287,,,,,,,,,,,,,,,,,,8.51E+00
111.3,384.45,4.9989,3.4358,,,,,,,,,,,,,,,,,,8.76E+00
111.6,384.75,4.9988,3.4373,,,,,,,,,,,,,,,,,,9.03E+00
111.9,385.05,4.9988,3.4455,,,,,,,,,,,,,,,,,,9.30E+00
112.2,385.35,4.9988,3.4470,,,,,,,,,,,,,,,,,,9.60E+00
112.5,385.65,4.9987,3.4545,,,,,,,,,,,,,,,,,,9.90E+00
112.8,385.95,4.9987,3.4561,,,,,,,,,,,,,,,,,,1.02E+01
113.1,386.25,4.9986,3.4643,,,,,,,,,,,,,,,,,,1.05E+01
113.4,386.55,4.9986,3.4659,,,,,,,,,,,,,,,,,,1.09E+01
113.7,386.85,4.9986,3.4735,,,,,,,,,,,,,,,,,,1.12E+01
114.0,387.15,4.9985,3.4751,,,,,,,,,,,,,,,,,,1.16E+01
114.3,387.45,4.9985,3.4834,,,,,,,,,,,,,,,,,,1.20E+01
114.6,387.75,4.9984,3.4850,,,,,,,,,,,,,,,,,,1.24E+01
114.9,388.05,4.9984,3.4926,,,,,,,,,,,,,,,,,,1.27E+01
115.2,388.35,4.9983,3.4944,,,,,,,,,,,,,,,,,,1.31E+01
115.5,388.65,4.9983,3.5027,,,,,,,,,,,,,,,,,,1.35E+01
115.8,388.95,4.9982,3.5044,,,,,,,,,,,,,,,,,,1.39E+01
116.1,389.25,4.9982,3.5120,,,,,,,,,,,,,,,,,,1.42E+01
116.4,389.55,4.9981,3.5134,,,,,,,,,,,,,,,,,,1.46E+01
116.7,389.85,4.9981,3.5222,,,,,,,,,,,,,,,,,,1.49E+01
117.0,390.15,4.9980,3.5240,,,,,,,,,,,,,,,,,,1.52E+01
117.3,390.45,4.9980,3.5317,,,,,,,,,,,,,,,,,,1.55E+01
117.6,390.75,4.9979,3.5331,,,,,,,,,,,,,,,,,,1.57E+01
117.9,391.05,4.9979,3.5420,,,,,,,,,,,,,,,,,,1.59E+01
118.2,391.35,4.9978,3.5438,,,,,,,,,,,,,,,,,,1.61E+01
118.5,391.65,4.9977,3.5516,,,,,,,,,,,,,,,,,,1.62E+01
118.8,391.95,4.9977,3.5535,,,,,,,,,,,,,,,,,,1.63E+01
119.1,392.25,4.9976,3.5621,,,,,,,,,,,,,,,,,,1.63E+01
119.4,392.55,4.9975,3.5640,,,,,,,,,,,,,,,,,,1.63E+01
119.7,392.85,4.9975,3.5726,,,,,,,,,,,,,,,,,,1.62E+01
120.0,393.15,4.9974,3.5745,,,,,,,,,,,,,,,,,,1.61E+01
120.3,393.45,4.9973,3.5824,,,,,,,,,,,,,,,,,,1.59E+01
120.6,393.75,4.9972,3.5845,,,,,,,,,,,,,,,,,,1.57E+01
120.9,394.05,4.9972,3.5931,,,,,,,,,,,,,,,,,,1.54E+01
121.2,394.35,4.9971,3.5951,,,,,,,,,,,,,,,,,,1.51E+01
121.5,394.65,4.9970,3.6031,,,,,,,,,,,,,,,,,,1.48E+01
121.8,394.95,4.9969,3.6048,,,,,,,,,,,,,,,,,,1.44E+01
122.1,395.25,4.9968,3.6140,,,,,,,,,,,,,,,,,,1.41E+01
122.4,395.55,4.9968,3.6160,,,,,,,,,,,,,,,,,,1.37E+01
122.7,395.85,4.9967,3.6241,,,,,,,,,,,,,,,,,,1.34E+01
123.0,396.15,4.9966,3.6259,,,,,,,,,,,,,,,,,,1.30E+01
123.3,396.45,4.9965,3.6352,,,,,,,,,,,,,,,,,,1.27E+01
123.6,396.75,4.9964,3.6373,,,,,,,,,,,,,,,,,,1.23E+01
123.9,397.05,4.9963,3.6455,,,,,,,,,,,,,,,,,,1.20E+01
124.2,397.35,4.9962,3.6473,,,,,,,,,,,,,,,,,,1.17E+01
124.5,397.65,4.9961,3.6567,,,,,,,,,,,,,,,,,,1.14E+01
124.8,397.95,4.9960,3.6589,,,,,,,,,,,,,,,,,,1.11E+01
125.1,398.25,4.9959,3.6672,,,,,,,,,,,,,,,,,,1.08E+01
125.4,398.55,4.9957,3.6691,,,,,,,,,,,,,,,,,,1.05E+01
125.7,398.85,4.9956,3.6786,,,,,,,,,,,,,,,,,,1.02E+01
126.0,399.15,4.9955,3.6806,,,,,,,,,,,,,,,,,,9.98E+00
126.3,399.45,4.9954,3.6894,,,,,,,,,,,,,,,,,,9.72E+00
126.6,399.75,4.9953,3.6914,,,,,,,,,,,,,,,,,,9.46E+00
126.9,400.05,4.9951,3.7010,,,,,,,,,,,,,,,,,,9.20E+00
127.2,400.35,4.9950,3.7030,,,,,,,,,,,,,,,,,,8.94E+00
127.5,400.65,4.9949,3.7119,,,,,,,,,,,,,,,,,,8.68E+00
127.8,400.95,4.9947,3.7140,,,,,,,,,,,,,,,,,,8.43E+00
128.1,401.25,4.9946,3.7238,,,,,,,,,,,,,,,,,,8.18E+00
128.4,401.55,4.9944,3.7259,,,,,,,,,,,,,,,,,,7.93E+00
128.7,401.85,4.9943,3.7349,,,,,,,,,,,,,,,,,,7.68E+00
129.0,402.15,4.9941,3.7371,,,,,,,,,,,,,,,,,,7.44E+00
129.3,402.45,4.9940,3.7470,,,,,,,,,,,,,,,,,,7.20E+00
129.6,402.75,4.9938,3.7492,,,,,,,,,,,,,,,,,,6.96E+00
129.9,403.05,4.9937,3.7584,,,,,,,,,,,,,,,,,,6.73E+00
130.2,403.35,4.9935,3.7602,,,,,,,,,,,,,,,,,,6.50E+00
130.5,403.65,4.9933,3.7706,,,,,,,,,,,,,,,,,,6.28E+00
130.8,403.95,4.9932,3.7730,,,,,,,,,,,,,,,,,,6.07E+00
131.1,404.25,4.9930,3.7831,,,,,,,,,,,,,,,,,,5.86E+00
131.4,404.55,4.9928,3.7850,,,,,,,,,,,,,,,,,,5.66E+00
131.7,404.85,4.9926,3.7948,,,,,,,,,,,,,,,,,,5.47E+00
132.0,405.15,4.9924,3.7973,,,,,,,,,,,,,,,,,,5.28E+00
132.3,405.45,4.9922,3.8075,,,,,,,,,,,,,,,,,,5.10E+00
132.6,405.75,4.9920,3.8095,,,,,,,,,,,,,,,,,,4.93E+00
132.9,406.05,4.9918,3.8195,,,,,,,,,,,,,,,,,,4.77E+00
133.2,406.35,4.9916,3.8221,,,,,,,,,,,,,,,,,,4.62E+00
133.5,406.65,4.9914,3.8324,,,,,,,,,,,,,,,,,,4.47E+00
133.8,406.95,4.9912,3.8346,,,,,,,,,,,,,,,,,,4.33E+00
134.1,407.25,4.9909,3.8447,,,,,,,,,,,,,,,,,,4.20E+00
134.4,407.55,4.9907,3.8469,,,,,,,,,,,,,,,,,,4.08E+00
134.7,407.85,4.9905,3.8578,,,,,,,,,,,,,,,,,,3.97E+00
135.0,408.15,4.9902,3.8601,,,,,,,,,,,,,,,,,,3.86E+00
135.3,408.45,4.9900,3.8704,,,,,,,,,,,,,,,,,,3.76E+00
135.6,408.75,4.9897,3.8727,,,,,,,,,,,,,,,,,,3.67E+00
135.9,409.05,4.9895,3.8838,,,,,,,,,,,,,,,,,,3.58E+00
136.2,409.35,4.9892,3.8862,,,,,,,,,,,,,,,,,,3.51E+00
136.5,409.65,4.9889,3.8967,,,,,,,,,,,,,,,,,,3.44E+00
136.8,409.95,4.9887,3.8991,,,,,,,,,,,,,,,,,,3.37E+00
137.1,410.25,4.9884,3.9104,,,,,,,,,,,,,,,,,,3.31E+00
137.4,410.55,4.9881,3.9128,,,,,,,,,,,,,,,,,,3.26E+00
137.7,410.85,4.9878,3.9234,,,,,,,,,,,,,,,,,,3.21E+00
138.0,411.15,4.9875,3.9260,,,,,,,,,,,,,,,,,,3.16E+00
138.3,411.45,4.9872,3.9374,,,,,,,,,,,,,,,,,,3.12E+00
138.6,411.75,4.9869,3.9400,,,,,,,,,,,,,,,,,,3.09E+00
138.9,412.05,4.9865,3.9508,,,,,,,,,,,,,,,,,,3.06E+00
139.2,412.35,4.9862,3.9534,,,,,,,,,,,,,,,,,,3.03E+00
139.5,412.65,4.9859,3.9650,,,,,,,,,,,,,,,,,,3.00E+00
139.8,412.95,4.9855,3.9677,,,,,,,,,,,,,,,,,,2.98E+00
140.1,413.25,4.9852,3.9787,,,,,,,,,,,,,,,,,,2.96E+00
140.4,413.55,4.9848,3.9814,,,,,,,,,,,,,,,,,,2.94E+00
140.7,413.85,4.9844,3.9932,,,,,,,,,,,,,,,,,,2.93E+00
141.0,414.15,4.9841,3.9960,,,,,,,,,,,,,,,,,,2.91E+00
141.3,414.45,4.9837,4.0071,,,,,,,,,,,,,,,,,,2.90E+00
141.6,414.75,4.9833,4.0099,,,,,,,,,,,,,,,,,,2.89E+00
141.9,415.05,4.9829,4.0219,,,,,,,,,,,,,,,,,,2.88E+00
142.2,415.35,4.9825,4.0248,,,,,,,,,,,,,,,,,,2.88E+00
142.5,415.65,4.9821,4.0368,,,,,,,,,,,,,,,,,,2.87E+00
142.8,415.95,4.9816,4.0398,,,,,,,,,,,,,,,,,,2.86E+00
143.1,416.25,4.9812,4.0511,,,,,,,,,,,,,,,,,,2.86E+00
143.4,416.55,4.9808,4.0541,,,,,,,,,,,,,,,,,,2.85E+00
143.7,416.85,4.9803,4.0663,,,,,,,,,,,,,,,,,,2.85E+00
144.0,417.15,4.9798,4.0693,,,,,,,,,,,,,,,,,,2.85E+00
144.3,417.45,4.9794,4.0808,,,,,,,,,,,,,,,,,,2.84E+00
144.6,417.75,4.9789,4.0839,,,,,,,,,,,,,,,,,,2.84E+00
144.9,418.05,4.9784,4.0962,,,,,,,,,,,,,,,,,,2.83E+00
145.2,418.35,4.9779,4.0993,,,,,,,,,,,,,,,,,,2.83E+00
145.5,418.65,4.9774,4.1110,,,,,,,,,,,,,,,,,,2.82E+00
145.8,418.95,4.9768,4.1141,,,,,,,,,,,,,,,,,,2.82E+00
146.1,419.25,4.9763,4.1266,,,,,,,,,,,,,,,,,,2.81E+00
146.4,419.55,4.9757,4.1298,,,,,,,,,,,,,,,,,,2.81E+00
146.7,419.85,4.9752,4.1416,,,,,,,,,,,,,,,,,,2.81E+00
147.0,420.15,4.9746,4.1447,,,,,,,,,,,,,,,,,,2.80E+00
147.3,420.45,4.9740,4.1574,,,,,,,,,,,,,,,,,,2.80E+00
147.6,420.75,4.9734,4.1606,,,,,,,,,,,,,,,,,,2.79E+00
147.9,421.05,4.9728,4.1726,,,,,,,,,,,,,,,,,,2.79E+00
148.2,421.35,4.9722,4.1757,,,,,,,,,,,,,,,,,,2.78E+00
148.5,421.65,4.9716,4.1885,,,,,,,,,,,,,,,,,,2.78E+00
148.8,421.95,4.9709,4.1918,,,,,,,,,,,,,,,,,,2.78E+00
149.1,422.25,4.9703,4.2039,,,,,,,,,,,,,,,,,,2.77E+00
149.4,422.55,4.9696,4.2071,,,,,,,,,,,,,,,,,,2.77E+00
149.7,422.85,4.9689,4.2199,,,,,,,,,,,,,,,,,,2.76E+00
150.0,423.15,4.9682,4.2232,,,,,,,,,,,,,,,,,,2.76E+00
150.3,423.45,4.9675,4.2354,,,,,,,,,,,,,,,,,,2.76E+00
150.6,423.75,4.9668,4.2386,,,,,,,,,,,,,,,,,,2.75E+00
150.9,424.05,4.9661,4.2515,,,,,,,,,,,,,,,,,,2.75E+00
151.2,424.35,4.9653,4.2547,,,,,,,,,,,,,,,,,,2.74E+00
151.5,424.65,4.9645,4.2671,,,,,,,,,,,,,,,,,,2.74E+00
151.8,424.95,4.9638,4.2702,,,,,,,,,,,,,,,,,,2.74E+00
152.1,425.25,4.9630,4.2832,,,,,,,,,,,,,,,,,,2.73E+00
152.4,425.55,4.9622,4.2864,,,,,,,,,,,,,,,,,,2.73E+00
152.7,425.85,4.9613,4.2988,,,,,,,,,,,,,,,,,,2.73E+00
153.0,426.15,4.9605,4.3019,,,,,,,,,,,,,,,,,,2.72E+00
153.3,426.45,4.9597,4.3149,,,,,,,,,,,,,,,,,,2.72E+00
153.6,426.75,4.9588,4.3180,,,,,,,,,,,,,,,,,,2.71E+00
153.9,427.05,4.9579,4.3312,,,,,,,,,,,,,,,,,,2.71E+00
154.2,427.35,4.9570,4.3342,,,,,,,,,,,,,,,,,,2.71E+00
154.5,427.65,4.9561,4.3466,,,,,,,,,,,,,,,,,,2.70E+00
154.8,427.95,4.9551,4.3494,,,,,,,,,,,,,,,,,,2.70E+00
155.1,428.25,4.9542,4.3626,,,,,,,,,,,,,,,,,,2.69E+00
155.4,428.55,4.9532,4.3655,,,,,,,,,,,,,,,,,,2.69E+00
155.7,428.85,4.9522,4.3779,,,,,,,,,,,,,,,,,,2.69E+00
156.0,429.15,4.9512,4.3806,,,,,,,,,,,,,,,,,,2.68E+00
156.3,429.45,4.9502,4.3938,,,,,,,,,,,,,,,,,,2.68E+00
156.6,429.75,4.9491,4.3964,,,,,,,,,,,,,,,,,,2.68E+00
156.9,430.05,4.9481,4.4088,,,,,,,,,,,,,,,,,,2.67E+00
157.2,430.35,4.9470,4.4113,,,,,,,,,,,,,,,,,,2.67E+00
157.5,430.65,4.9459,4.4244,,,,,,,,,,,,,,,,,,2.66E+00
157.8,430.95,4.9448,4.4268,,,,,,,,,,,,,,,,,,2.66E+00
158.1,431.25,4.9437,4.4391,,,,,,,,,,,,,,,,,,2.66E+00
158.4,431.55,4.9425,4.4413,,,,,,,,,,,,,,,,,,2.65E+00
158.7,431.85,4.9414,4.4543,,,,,,,,,,,,,,,,,,2.65E+00
159.0,432.15,4.9402,4.4564,,,,,,,,,,,,,,,,,,2.65E+00
159.3,432.45,4.9390,4.4686,,,,,,,,,,,,,,,,,,2.64E+00
159.6,432.75,4.9377,4.4705,,,,,,,,,,,,,,,,,,2.64E+00
159.9,433.05,4.9365,4.4834,,,,,,,,,,,,,,,,,,2.63E+00
160.2,433.35,4.9352,4.4852,,,,,,,,,,,,,,,,,,2.63E+00
160.5,433.65,4.9339,4.4972,,,,,,,,,,,,,,,,,,2.63E+00
160.8,433.95,4.9326,4.4987,,,,,,,,,,,,,,,,,,2.62E+00
161.1,434.25,4.9313,4.5114,,,,,,,,,,,,,,,,,,2.62E+00
161.4,434.55,4.9299,4.5128,,,,,,,,,,,,,,,,,,2.62E+00
161.7,434.85,4.9286,4.5246,,,,,,,,,,,,,,,,,,2.61E+00
162.0,435.15,4.9272,4.5257,,,,,,,,,,,,,,,,,,2.61E+00
162.3,435.45,4.9257,4.5381,,,,,,,,,,,,,,,,,,2.61E+00
162.6,435.75,4.9243,4.5390,,,,,,,,,,,,,,,,,,2.60E+00
162.9,436.05,4.9229,4.5506,,,,,,,,,,,,,,,,,,2.60E+00
163.2,436.35,4.9214,4.5512,,,,,,,,,,,,,,,,,,2.59E+00
163.5,436.65,4.9199,4.5634,,,,,,,,,,,,,,,,,,2.59E+00
163.8,436.95,4.9183,4.5638,,,,,,,,,,,,,,,,,,2.59E+00
164.1,437.25,4.9168,4.5751,,,,,,,,,,,,,,,,,,2.58E+00
164.4,437.55,4.9152,4.5751,,,,,,,,,,,,,,,,,,2.58E+00
164.7,437.85,4.9136,4.5869,,,,,,,,,,,,,,,,,,2.58E+00
165.0,438.15,4.9120,4.5867,,,,,,,,,,,,,,,,,,2.57E+00
165.3,438.45,4.9104,4.5983,,,,,,,,,,,,,,,,,,2.57E+00
165.6,438.75,4.9087,4.5978,,,,,,,,,,,,,,,,,,2.57E+00
165.9,439.05,4.9070,4.6085,,,,,,,,,,,,,,,,,,2.56E+00
166.2,439.35,4.9053,4.6077,,,,,,,,,,,,,,,,,,2.56E+00
166.5,439.65,4.9036,4.6188,,,,,,,,,,,,,,,,,,2.56E+00
166.8,439.95,4.9019,4.6177,,,,,,,,,,,,,,,,,,2.55E+00
167.1,440.25,4.9001,4.6279,,,,,,,,,,,,,,,,,,2.55E+00
167.4,440.55,4.8983,4.6265,,,,,,,,,,,,,,,,,,2.55E+00
167.7,440.85,4.8964,4.6371,,,,,,,,,,,,,,,,,,2.54E+00
168.0,441.15,4.8946,4.6353,,,,,,,,,,,,,,,,,,2.54E+00
168.3,441.45,4.8927,4.6450,,,,,,,,,,,,,,,,,,2.54E+00
168.6,441.75,4.8908,4.6428,,,,,,,,,,,,,,,,,,2.53E+00
168.9,442.05,4.8889,4.6529,,,,,,,,,,,,,,,,,,2.53E+00
169.2,442.35,4.8870,4.6504,,,,,,,,,,,,,,,,,,2.53E+00
169.5,442.65,4.8850,4.6595,,,,,,,,,,,,,,,,,,2.52E+00
169.8,442.95,4.8830,4.6565,,,,,,,,,,,,,,,,,,2.52E+00
170.1,443.25,4.8810,4.6660,,,,,,,,,,,,,,,,,,2.52E+00
170.4,443.55,4.8790,4.6628,,,,,,,,,,,,,,,,,,2.51E+00
170.7,443.85,4.8769,4.6713,,,,,,,,,,,,,,,,,,2.51E+00
171.0,444.15,4.8748,4.6676,,,,,,,,,,,,,,,,,,2.51E+00
171.3,444.45,4.8727,4.6764,,,,,,,,,,,,,,,,,,2.50E+00
171.6,444.75,4.8706,4.6723,,,,,,,,,,,,,,,,,,2.50E+00
171.9,445.05,4.8685,4.6802,,,,,,,,,,,,,,,,,,2.50E+00
172.2,445.35,4.8663,4.6757,,,,,,,,,,,,,,,,,,2.49E+00
172.5,445.65,4.8641,4.6839,,,,,,,,,,,,,,,,,,2.49E+00
172.8,445.95,4.8619,4.6790,,,,,,,,,,,,,,,,,,2.49E+00
173.1,446.25,4.8596,4.6862,,,,,,,,,,,,,,,,,,2.48E+00
173.4,446.55,4.8573,4.6809,,,,,,,,,,,,,,,,,,2.48E+00
173.7,446.85,4.8550,4.6884,,,,,,,,,,,,,,,,,,2.48E+00
174.0,447.15,4.8527,4.6828,,,,,,,,,,,,,,,,,,2.47E+00
174.3,447.45,4.8504,4.6892,,,,,,,,,,,,,,,,,,2.47E+00
174.6,447.75,4.8480,4.6831,,,,,,,,,,,,,,,,,,2.47E+00
174.9,448.05,4.8456,4.6899,,,,,,,,,,,,,,,,,,2.47E+00
175.2,448.35,4.8432,4.6835,,,,,,,,,,,,,,,,,,2.46E+00
175.5,448.65,4.8408,4.6893,,,,,,,,,,,,,,,,,,2.46E+00
175.8,448.95,4.8383,4.6825,,,,,,,,,,,,,,,,,,2.46E+00
176.1,449.25,4.8358,4.6885,,,,,,,,,,,,,,,,,,2.45E+00
176.4,449.55,4.8333,4.6814,,,,,,,,,,,,,,,,,,2.45E+00
176.7,449.85,4.8308,4.6871,,,,,,,,,,,,,,,,,,2.45E+00
177.0,450.15,4.8282,4.6796,,,,,,,,,,,,,,,,,,2.44E+00
177.3,450.45,4.8257,4.6843,,,,,,,,,,,,,,,,,,2.44E+00
177.6,450.75,4.8231,4.6765,,,,,,,,,,,,,,,,,,2.44E+00
177.9,451.05,4.8205,4.6815,,,,,,,,,,,,,,,,,,2.44E+00
178.2,451.35,4.8178,4.6734,,,,,,,,,,,,,,,,,,2.43E+00
178.5,451.65,4.8152,4.6775,,,,,,,,,,,,,,,,,,2.43E+00
178.8,451.95,4.8125,4.6690,,,,,,,,,,,,,,,,,,2.43E+00
179.1,452.25,4.8098,4.6734,,,,,,,,,,,,,,,,,,2.42E+00
179.4,452.55,4.8071,4.6647,,,,,,,,,,,,,,,,,,2.42E+00
179.7,452.85,4.8043,4.6682,,,,,,,,,,,,,,,,,,2.42E+00
180.0,453.15,4.8015,4.6592,,,,,,,,,,,,,,,,,,2.42E+00
180.3,453.45,4.7988,4.6631,,,,,,,,,,,,,,,,,,2.41E+00
180.6,453.75,4.7960,4.6539,,,,,,,,,,,,,,,,,,2.41E+00
180.9,454.05,4.7931,4.6570,,,,,,,,,,,,,,,,,,2.41E+00
181.2,454.35,4.7903,4.6475,,,,,,,,,,,,,,,,,,2.40E+00
181.5,454.65,4.7874,4.6510,,,,,,,,,,,,,,,,,,2.40E+00
181.8,454.95,4.7845,4.6415,,,,,,,,,,,,,,,,,,2.40E+00
182.1,455.25,4.7816,4.6440,,,,,,,,,,,,,,,,,,2.40E+00
182.4,455.55,4.7786,4.6343,,,,,,,,,,,,,,,,,,2.39E+00
182.7,455.85,4.7757,4.6374,,,,,,,,,,,,,,,,,,2.39E+00
183.0,456.15,4.7727,4.6277,,,,,,,,,,,,,,,,,,2.39E+00
183.3,456.45,4.7697,4.6300,,,,,,,,,,,,,,,,,,2.39E+00
183.6,456.75,4.7667,4.6201,,,,,,,,,,,,,,,,,,2.38E+00
183.9,457.05,4.7637,4.6230,,,,,,,,,,,,,,,,,,2.38E+00
184.2,457.35,4.7606,4.6132,,,,,,,,,,,,,,,,,,2.38E+00
184.5,457.65,4.7575,4.6153,,,,,,,,,,,,,,,,,,2.38E+00
184.8,457.95,4.7544,4.6055,,,,,,,,,,,,,,,,,,2.37E+00
185.1,458.25,4.7513,4.6082,,,,,,,,,,,,,,,,,,2.37E+00
185.4,458.55,4.7482,4.5985,,,,,,,,,,,,,,,,,,2.37E+00
185.7,458.85,4.7450,4.6005,,,,,,,,,,,,,,,,,,2.37E+00
186.0,459.15,4.7418,4.5909,,,,,,,,,,,,,,,,,,2.36E+00
186.3,459.45,4.7387,4.5936,,,,,,,,,,,,,,,,,,2.36E+00
186.6,459.75,4.7354,4.5842,,,,,,,,,,,,,,,,,,2.36E+00
186.9,460.05,4.7322,4.5863,,,,,,,,,,,,,,,,,,2.36E+00
187.2,460.35,4.7289,4.5771,,,,,,,,,,,,,,,,,,2.35E+00
187.5,460.65,4.7256,4.5800,,,,,,,,,,,,,,,,,,2.35E+00
187.8,460.95,4.7223,4.5710,,,,,,,,,,,,,,,,,,2.35E+00
188.1,461.25,4.7190,4.5739,,,,,,,,,,,,,,,,,,2.35E+00
188.4,461.55,4.7156,4.5653,,,,,,,,,,,,,,,,,,2.34E+00
188.7,461.85,4.7123,4.5678,,,,,,,,,,,,,,,,,,2.34E+00
189.0,462.15,4.7089,4.5595,,,,,,,,,,,,,,,,,,2.34E+00
189.3,462.45,4.7054,4.5628,,,,,,,,,,,,,,,,,,2.34E+00
189.6,462.75,4.7020,4.5548,,,,,,,,,,,,,,,,,,2.33E+00
189.9,463.05,4.6985,4.5578,,,,,,,,,,,,,,,,,,2.33E+00
190.2,463.35,4.6950,4.5503,,,,,,,,,,,,,,,,,,2.33E+00
190.5,463.65,4.6915,4.5541,,,,,,,,,,,,,,,,,,2.33E+00
190.8,463.95,4.6879,4.5470,,,,,,,,,,,,,,,,,,2.33E+00
191.1,464.25,4.6844,4.5505,,,,,,,,,,,,,,,,,,2.32E+00
191.4,464.55,4.6808,4.5439,,,,,,,,,,,,,,,,,,2.32E+00
191.7,464.85,4.6771,4.5483,,,,,,,,,,,,,,,,,,2.32E+00
192.0,465.15,4.6735,4.5422,,,,,,,,,,,,,,,,,,2.32E+00
192.3,465.45,4.6698,4.5465,,,,,,,,,,,,,,,,,,2.31E+00
192.6,465.75,4.6661,4.5409,,,,,,,,,,,,,,,,,,2.31E+00
192.9,466.05,4.6624,4.5461,,,,,,,,,,,,,,,,,,2.31E+00
193.2,466.35,4.6586,4.5411,,,,,,,,,,,,,,,,,,2.31E+00
193.5,466.65,4.6548,4.5462,,,,,,,,,,,,,,,,,,2.31E+00
193.8,466.95,4.6510,4.5417,,,,,,,,,,,,,,,,,,2.30E+00
194.1,467.25,4.6471,4.5479,,,,,,,,,,,,,,,,,,2.30E+00
194.4,467.55,4.6432,4.5440,,,,,,,,,,,,,,,,,,2.30E+00
194.7,467.85,4.6392,4.5501,,,,,,,,,,,,,,,,,,2.30E+00
195.0,468.15,4.6353,4.5468,,,,,,,,,,,,,,,,,,2.30E+00
195.3,468.45,4.6313,4.5539,,,,,,,,,,,,,,,,,,2.29E+00
195.6,468.75,4.6272,4.5514,,,,,,,,,,,,,,,,,,2.29E+00
195.9,469.05,4.6232,4.5584,,,,,,,,,,,,,,,,,,2.29E+00
196.2,469.35,4.6191,4.5565,,,,,,,,,,,,,,,,,,2.29E+00
196.5,469.65,4.6149,4.5646,,,,,,,,,,,,,,,,,,2.29E+00
196.8,469.95,4.6107,4.5634,,,,,,,,,,,,,,,,,,2.29E+00
197.1,470.25,4.6065,4.5716,,,,,,,,,,,,,,,,,,2.28E+00
197.4,470.55,4.6022,4.5709,,,,,,,,,,,,,,,,,,2.28E+00
197.7,470.85,4.5979,4.5802,,,,,,,,,,,,,,,,,,2.28E+00
198.0,471.15,4.5935,4.5803,,,,,,,,,,,,,,,,,,2.28E+00
198.3,471.45,4.5891,4.5896,,,,,,,,,,,,,,,,,,2.28E+00
