Time,Mass,Temperature
[s],[g],[K]
300,160.782063,676.3179665
301,160.782064,675.4057031
302,160.713343,677.2624653
303,160.657748,672.2844829
304,160.575901,670.4215155
305,160.516445,676.7407997
306,160.481699,680.2515155
307,160.443091,680.7514788
308,160.389814,678.9999642
309,160.305649,669.1364251
310,160.208359,672.5877277
311,160.168207,675.301153
312,160.074005,678.706918
313,160.037715,677.119982
314,159.948146,679.057425
315,159.882514,677.0487408
316,159.826147,678.3644642
317,159.754337,676.2306439
318,159.651642,675.3689381
319,159.602996,677.5347966
320,159.539681,678.5701652
321,159.467871,679.3263447
322,159.393745,679.4539111
323,159.314214,677.2751051
324,159.250898,673.8616599
325,159.172139,676.1559606
326,159.101102,679.5171201
327,159.041646,681.584792
328,158.965976,680.5376991
329,158.895711,669.7933103
330,158.827762,670.4996126
331,158.750547,676.3983957
332,158.686459,673.8237504
333,158.620055,673.3286384
334,158.539751,677.3520927
335,158.440917,676.2375378
336,158.363702,676.1260873
337,158.281855,676.4765274
338,158.227032,673.474528
339,158.101945,670.0034744
340,158.027047,672.6681346
341,157.95987,677.6830299
342,157.882655,676.6971369
343,157.807757,677.6968191
344,157.734403,677.9048083
345,157.651783,677.1521555
346,157.557582,678.2346098
347,157.469557,676.9005145
348,157.401608,680.3411627
349,157.329799,676.0169357
350,157.264166,675.4367237
351,157.176142,673.1299095
352,157.098155,671.4218809
353,157.013991,678.8988338
354,156.962257,678.5012148
355,156.846435,678.9815768
356,156.779259,678.8137929
357,156.709765,669.9460522
358,156.641817,674.365982
359,156.546071,675.692933
360,156.466539,676.9820963
361,156.393186,679.4918365
362,156.291262,676.5569575
363,156.223313,678.1564679
364,156.15382,678.251847
365,156.034137,678.9137735
366,155.97391,678.8815957
367,155.866582,678.6310717
368,155.792456,677.7025646
369,155.727596,677.6692407
370,155.648837,676.6557724
371,155.570078,675.7814011
372,155.485914,674.8990445
373,155.428775,668.732204
374,155.319902,673.064433
375,155.226473,675.0231224
376,155.172423,675.8078267
377,155.099841,673.5756177
378,155.007183,670.9280058
379,154.9485,673.1816017
380,154.874374,678.3311386
381,154.79716,680.267606
382,154.732299,674.0879707
383,154.644275,674.3544938
384,154.568604,676.5512125
385,154.512238,677.552033
386,154.414175,674.9875073
387,154.313796,669.9552397
388,154.233493,673.0632843
389,154.126937,675.0070381
390,154.054355,672.3212395
391,153.970964,670.6983026
392,153.89066,672.6635399
393,153.807268,677.6451096
394,153.714611,678.3621658
395,153.6567,678.0105277
396,153.555549,675.9204235
397,153.45517,674.5739198
398,153.39417,678.1645119
399,153.265222,679.4654036
400,153.213488,679.9297098
401,153.107704,676.0054462
402,153.047477,677.5382439
403,152.928566,676.9223462
404,152.837453,679.4148366
405,152.767188,677.931238
406,152.686112,674.8795138
407,152.581101,674.9013422
408,152.534772,677.7450815
409,152.400418,671.371344
410,152.348684,672.2833343
411,152.265293,668.2189067
412,152.183445,665.0017714
413,152.076889,666.3427248
414,151.984232,653.6744621
415,151.906245,661.54094
416,151.808954,670.8430152
417,151.730195,673.8731477
418,151.654525,675.6550183
419,151.551058,675.9296151
420,151.495463,675.7699117
421,151.360338,672.8909792
422,151.309376,670.5547401
423,151.217491,668.1821613
424,151.154175,672.2454292
425,151.058428,673.1528838
426,151.009011,673.0988943
427,150.924847,666.030436
428,150.82138,651.8645417
429,150.731811,661.4342022
430,150.639153,668.8217747
431,150.554989,668.5059833
432,150.448433,669.4510829
433,150.393611,674.9472968
434,150.288599,668.5094283
435,150.205207,663.4233378
436,150.114094,664.4633612
437,150.025297,665.0178437
438,149.946538,663.8078845
439,149.857742,653.2030334
440,149.758135,648.5148857
441,149.64849,663.236234
442,149.532668,651.4321699
443,149.462403,654.2170272
444,149.336543,659.0001222
445,149.263189,655.8345293
446,149.152772,655.6716231
447,149.053165,654.3328843
448,148.965913,655.5614904
449,148.88947,657.1355559
450,148.779053,650.0491327
451,148.663232,667.4679432
452,148.576751,671.8905047
453,148.518068,669.4901285
454,148.39993,665.0258798
