time,Temp,TGA
[s],[K],[mg]
962.6,632.5,2.8433
964.1,633,2.82
965.5,633.5,2.7949
966.9,634,2.7678
968.4,634.5,2.743
969.8,635,2.7137
971.2,635.5,2.6889
972.7,636,2.6608
974.1,636.5,2.6301
975.6,637,2.6037
977,637.5,2.5726
978.5,638,2.5453
979.9,638.5,2.5144
981.3,639,2.4823
982.8,639.5,2.4543
984.2,640,2.4207
985.7,640.5,2.3916
987.1,641,2.3592
988.5,641.5,2.3257
990,642,2.296
991.4,642.5,2.2604
992.9,643,2.2296
994.3,643.5,2.1957
995.8,644,2.1594
997.2,644.5,2.1278
998.6,645,2.0911
1000.1,645.5,2.0596
1001.5,646,2.0255
1003,646.5,1.9893
1004.4,647,1.9576
1005.9,647.5,1.9196
1007.3,648,1.8872
1008.7,648.5,1.8526
1010.2,649,1.8163
1011.6,649.5,1.7847
1013,650,1.7469
1014.5,650.5,1.7141
1015.9,651,1.6786
1017.4,651.5,1.6417
1018.8,652,1.6095
1020.2,652.5,1.5724
1021.7,653,1.5415
1023.1,653.5,1.5069
1024.5,654,1.47
1026,654.5,1.4367
1027.4,655,1.4006
1028.8,655.5,1.3697
1030.3,656,1.3353
1031.7,656.5,1.3009
1033.1,657,1.2701
1034.5,657.5,1.2341
1036,658,1.2042
1037.4,658.5,1.1714
1038.8,659,1.1396
1040.2,659.5,1.1095
1041.7,660,1.075
1043.1,660.5,1.0475
1044.5,661,1.0165
1045.9,661.5,0.9874
1047.3,662,0.9594
1048.7,662.5,0.9278
1050.2,663,0.9019
1051.6,663.5,0.8731
1053,664,0.8473
1054.4,664.5,0.82
1055.8,665,0.791
1057.3,665.5,0.7676
1058.7,666,0.7404
1060.1,666.5,0.718
1061.5,667,0.6932
1062.9,667.5,0.6689
1064.3,668,0.6477
1065.7,668.5,0.6236
1067.1,669,0.6034
1068.5,669.5,0.5813
1070,670,0.5604
1071.4,670.5,0.5411
1072.8,671,0.5196
1074.2,671.5,0.504
1075.6,672,0.4848
1077,672.5,0.4675
1078.4,673,0.4491
1079.8,673.5,0.4305
1081.2,674,0.4157
1082.6,674.5,0.3983
1084,675,0.3841
1085.4,675.5,0.3685
1086.9,676,0.3535
1088.3,676.5,0.3404
1089.7,677,0.3256
1091.1,677.5,0.314
1092.5,678,0.3012
1093.9,678.5,0.2889
1095.3,679,0.2771
1096.7,679.5,0.2649
1098.1,680,0.254
1099.5,680.5,0.2425
1100.9,681,0.2336
1102.4,681.5,0.2239
1103.8,682,0.2139
1105.2,682.5,0.2057
1106.6,683,0.1965
1108,683.5,0.1892
1109.4,684,0.1819
1110.8,684.5,0.174
1112.2,685,0.1679
1113.6,685.5,0.161
1115,686,0.1553
1116.4,686.5,0.1481
1117.9,687,0.1413
1119.3,687.5,0.1357
1120.7,688,0.1306
1122.1,688.5,0.1252
1123.5,689,0.1207
1125,689.5,0.1148
1126.4,690,0.1103
1127.8,690.5,0.1063
1129.2,691,0.103
1130.7,691.5,0.0983
1132.1,692,0.0945
1133.5,692.5,0.0916
1134.9,693,0.0886
1136.3,693.5,0.0858
1137.8,694,0.0829
1139.2,694.5,0.0801
1140.6,695,0.0774
1142,695.5,0.0748
