Temp,time,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K]
357.2,177.1,3.9569,0.55644,0.919,0.317,1.61
357.3,177.5,3.9565,0.5557,0.916,0.316,1.61
357.4,177.8,3.9561,0.55487,0.918,0.317,1.61
357.5,178.1,3.9557,0.55464,0.924,0.318,1.61
357.6,178.4,3.9556,0.55578,0.927,0.317,1.62
357.7,178.7,3.9556,0.55735,0.925,0.317,1.63
357.8,179.0,3.9557,0.55743,0.921,0.317,1.62
357.9,179.3,3.9557,0.55641,0.919,0.318,1.61
358.0,179.7,3.9557,0.55581,0.918,0.320,1.60
358.1,180.0,3.9557,0.55552,0.918,0.319,1.60
358.2,180.3,3.9557,0.55486,0.920,0.319,1.60
358.3,180.6,3.9560,0.55396,0.921,0.319,1.60
358.4,180.9,3.9565,0.55325,0.917,0.319,1.59
358.5,181.2,3.9570,0.55321,0.914,0.319,1.58
358.6,181.5,3.9571,0.55397,0.917,0.319,1.59
358.7,181.8,3.9570,0.55455,0.919,0.319,1.60
358.8,182.2,3.9569,0.55429,0.918,0.319,1.59
358.9,182.5,3.9565,0.55388,0.918,0.321,1.59
359.0,182.8,3.9560,0.5538,0.919,0.322,1.58
359.1,183.1,3.9556,0.55369,0.918,0.321,1.58
359.2,183.4,3.9557,0.55348,0.915,0.321,1.58
359.3,183.7,3.9562,0.55376,0.915,0.321,1.58
359.4,184.0,3.9568,0.55447,0.919,0.322,1.58
359.5,184.3,3.9571,0.55469,0.922,0.323,1.58
359.6,184.6,3.9570,0.55407,0.921,0.323,1.58
359.7,185.0,3.9570,0.55297,0.918,0.322,1.58
359.8,185.3,3.9570,0.55201,0.919,0.322,1.58
359.9,185.6,3.9570,0.55193,0.920,0.322,1.58
360.0,185.9,3.9570,0.55237,0.922,0.321,1.59
360.1,186.2,3.9570,0.55216,0.924,0.321,1.59
360.2,186.5,3.9570,0.55131,0.922,0.320,1.59
360.3,186.8,3.9570,0.55056,0.920,0.321,1.58
360.4,187.1,3.9570,0.55016,0.921,0.322,1.57
360.5,187.4,3.9570,0.55008,0.922,0.323,1.57
360.6,187.8,3.9570,0.55042,0.921,0.323,1.57
360.7,188.1,3.9569,0.5512,0.917,0.323,1.56
360.8,188.4,3.9567,0.55166,0.913,0.323,1.56
360.9,188.7,3.9561,0.55105,0.914,0.322,1.57
361.0,189.0,3.9557,0.55012,0.918,0.321,1.57
361.1,189.3,3.9556,0.54977,0.918,0.320,1.58
361.2,189.6,3.9557,0.54951,0.918,0.320,1.58
361.3,189.9,3.9557,0.54888,0.920,0.321,1.57
