Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
12689.4,431.23,0.103,0,0.103
12699.6,431.73,0.103,0,0.103
12709.8,432.23,0.103,0,0.103
12719.4,432.73,0.103,0,0.103
12729.6,433.23,0.103,0,0.103
12739.8,433.73,0.104,0,0.104
12749.4,434.23,0.104,0,0.104
12759.6,434.73,0.104,0,0.104
12769.8,435.23,0.104,0,0.104
12779.4,435.73,0.104,0,0.104
12789.6,436.23,0.104,0,0.105
12799.8,436.73,0.104,0,0.105
12809.4,437.23,0.104,0,0.105
12819.6,437.73,0.105,0,0.105
12829.8,438.23,0.105,0.001,0.105
12839.4,438.73,0.105,0.001,0.105
12849.6,439.23,0.105,0.001,0.106
12859.8,439.73,0.105,0.001,0.106
12869.4,440.23,0.105,0.001,0.106
12879.6,440.73,0.105,0.001,0.106
12889.8,441.23,0.105,0.001,0.106
12899.4,441.73,0.106,0.001,0.107
12909.6,442.23,0.106,0.001,0.107
12919.8,442.73,0.106,0.001,0.107
12929.4,443.23,0.106,0.001,0.107
12939.6,443.73,0.106,0.001,0.108
12949.8,444.23,0.106,0.001,0.108
12959.4,444.73,0.107,0.001,0.108
12969.6,445.23,0.107,0.002,0.108
12979.8,445.73,0.107,0.002,0.109
12989.4,446.23,0.107,0.002,0.109
12999.6,446.73,0.107,0.002,0.109
13009.8,447.23,0.107,0.002,0.109
13019.4,447.73,0.107,0.002,0.109
13029.6,448.23,0.107,0.002,0.11
13039.8,448.73,0.108,0.002,0.11
13049.4,449.23,0.108,0.002,0.11
13059.6,449.73,0.108,0.002,0.11
13069.8,450.23,0.108,0.003,0.11
13079.4,450.73,0.108,0.003,0.111
13089.6,451.23,0.108,0.003,0.111
13099.8,451.73,0.108,0.003,0.111
13109.4,452.23,0.109,0.003,0.111
13119.6,452.73,0.109,0.003,0.112
13129.8,453.23,0.109,0.003,0.112
13139.4,453.73,0.109,0.003,0.112
13149.6,454.23,0.109,0.003,0.112
13159.8,454.73,0.109,0.003,0.112
13169.4,455.23,0.109,0.003,0.113
13179.6,455.73,0.109,0.004,0.113
13189.8,456.23,0.11,0.004,0.113
13199.4,456.73,0.11,0.004,0.113
13209.6,457.23,0.11,0.004,0.114
13219.8,457.73,0.11,0.004,0.114
13229.4,458.23,0.11,0.004,0.114
13239.6,458.73,0.11,0.004,0.114
13249.8,459.23,0.11,0.004,0.115
13259.4,459.73,0.111,0.004,0.115
13269.6,460.23,0.111,0.004,0.115
13279.8,460.73,0.111,0.005,0.115
13289.4,461.23,0.111,0.005,0.116
13299.6,461.73,0.111,0.005,0.116
13309.8,462.23,0.111,0.005,0.116
13319.4,462.73,0.111,0.005,0.116
13329.6,463.23,0.111,0.005,0.117
13339.8,463.73,0.112,0.005,0.117
13349.4,464.23,0.112,0.005,0.117
13359.6,464.73,0.112,0.005,0.117
13369.8,465.23,0.112,0.006,0.117
13379.4,465.73,0.112,0.006,0.118
13389.6,466.23,0.112,0.006,0.118
13399.8,466.73,0.112,0.006,0.118
13409.4,467.23,0.112,0.006,0.119
