Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
12660,429.82,0.103,-0.023,0.08
12669.6,430.32,0.103,-0.023,0.08
12679.8,430.82,0.103,-0.024,0.08
12690,431.32,0.103,-0.024,0.08
12699.6,431.82,0.104,-0.024,0.08
12709.8,432.32,0.104,-0.024,0.08
12720,432.82,0.104,-0.024,0.08
12729.6,433.32,0.104,-0.024,0.08
12739.8,433.82,0.104,-0.024,0.08
12750,434.32,0.104,-0.024,0.081
12759.6,434.82,0.104,-0.024,0.081
12769.8,435.32,0.104,-0.024,0.081
12780,435.82,0.105,-0.024,0.081
12789.6,436.32,0.105,-0.024,0.081
12799.8,436.82,0.105,-0.024,0.081
12810,437.32,0.105,-0.024,0.081
12819.6,437.82,0.105,-0.024,0.081
12829.8,438.32,0.105,-0.024,0.081
12840,438.82,0.105,-0.024,0.081
12849.6,439.32,0.105,-0.024,0.082
12859.8,439.82,0.106,-0.024,0.082
12870,440.32,0.106,-0.024,0.082
12880.2,440.82,0.106,-0.024,0.082
12889.8,441.32,0.106,-0.024,0.082
12900,441.82,0.106,-0.024,0.082
12910.2,442.32,0.106,-0.024,0.082
12919.8,442.82,0.106,-0.024,0.082
12930,443.32,0.106,-0.024,0.082
12939.6,443.82,0.107,-0.024,0.083
12949.8,444.32,0.107,-0.024,0.083
12960,444.82,0.107,-0.024,0.083
12969.6,445.32,0.107,-0.024,0.083
12979.8,445.82,0.107,-0.024,0.083
12990,446.32,0.107,-0.024,0.083
12999.6,446.82,0.107,-0.024,0.083
13009.8,447.32,0.108,-0.024,0.084
13020,447.82,0.108,-0.024,0.084
13029.6,448.32,0.108,-0.024,0.084
13039.8,448.82,0.108,-0.024,0.084
13050,449.32,0.108,-0.024,0.084
13060.2,449.82,0.108,-0.024,0.084
13069.8,450.32,0.108,-0.024,0.084
13080,450.82,0.108,-0.024,0.084
13090.2,451.32,0.109,-0.024,0.084
13099.8,451.82,0.109,-0.024,0.085
13110,452.32,0.109,-0.024,0.085
13120.2,452.82,0.109,-0.024,0.085
13129.8,453.32,0.109,-0.024,0.085
13140,453.82,0.109,-0.024,0.085
13150.2,454.32,0.109,-0.024,0.085
13159.8,454.82,0.11,-0.024,0.085
13170,455.32,0.11,-0.024,0.086
13180.2,455.82,0.11,-0.024,0.086
13189.8,456.32,0.11,-0.024,0.086
13200,456.82,0.11,-0.024,0.086
13210.2,457.32,0.11,-0.024,0.086
13219.8,457.82,0.11,-0.024,0.086
13230,458.32,0.11,-0.024,0.086
13240.2,458.82,0.111,-0.024,0.087
13249.8,459.32,0.111,-0.024,0.087
13260,459.82,0.111,-0.024,0.087
13270.2,460.32,0.111,-0.024,0.087
13279.8,460.82,0.111,-0.024,0.087
13290,461.32,0.111,-0.024,0.088
13300.2,461.82,0.111,-0.024,0.088
13309.8,462.32,0.111,-0.024,0.088
13320,462.82,0.112,-0.024,0.088
13330.2,463.32,0.112,-0.024,0.088
13339.8,463.82,0.112,-0.024,0.088
13350,464.32,0.112,-0.024,0.088
13360.2,464.82,0.112,-0.024,0.089
13369.8,465.32,0.112,-0.024,0.089
13380,465.82,0.112,-0.024,0.089
13390.2,466.32,0.113,-0.023,0.089
13399.8,466.82,0.113,-0.023,0.089
13410,467.32,0.113,-0.023,0.089
