Time,Temperature,Heat Flow
[s],[K],[W/g]
1449.5712,353.844,-0.90844
1449.7326,353.944,-0.91181
1449.8934,354.044,-0.91392
1450.0542,354.144,-0.91741
1450.215,354.244,-0.91975
1450.3746,354.344,-0.92098
1450.5342,354.444,-0.9227
1450.695,354.544,-0.92514
1450.8546,354.644,-0.92785
1451.013,354.744,-0.93056
1451.1714,354.844,-0.93386
1451.3316,354.944,-0.93737
1451.4924,355.044,-0.93965
1451.6508,355.144,-0.9411
1451.8098,355.244,-0.94417
1451.9688,355.344,-0.94643
1452.1284,355.444,-0.94708
1452.2856,355.544,-0.94954
1452.4434,355.644,-0.95305
1452.6018,355.744,-0.95646
1452.7596,355.844,-0.95903
1452.9174,355.944,-0.96093
1453.0746,356.044,-0.96294
1453.2318,356.144,-0.96491
1453.3884,356.244,-0.96783
1453.5444,356.344,-0.97077
1453.7016,356.444,-0.97265
1453.857,356.544,-0.97509
1454.0124,356.644,-0.97758
1454.1684,356.744,-0.98028
1454.3244,356.844,-0.98369
1454.4798,356.944,-0.98724
1454.6358,357.044,-0.98936
1454.7918,357.144,-0.99077
1454.9478,357.244,-0.99276
1455.1038,357.344,-0.99552
1455.258,357.444,-0.99827
1455.4146,357.544,-1.00165
1455.5718,357.644,-1.00513
1455.7278,357.744,-1.00727
1455.882,357.844,-1.00793
1456.0374,357.944,-1.00959
1456.1934,358.044,-1.01221
1456.3488,358.144,-1.01475
1456.5036,358.244,-1.01706
1456.6578,358.344,-1.01986
1456.8108,358.444,-1.02248
1456.9644,358.544,-1.02423
1457.1186,358.644,-1.02547
1457.2704,358.744,-1.02751
1457.4234,358.844,-1.03084
1457.5776,358.944,-1.03347
1457.7312,359.044,-1.03575
1457.883,359.144,-1.03949
1458.0336,359.244,-1.04264
1458.1842,359.344,-1.04436
1458.3354,359.444,-1.04558
1458.4872,359.544,-1.04777
1458.6384,359.644,-1.05087
1458.7896,359.744,-1.05278
1458.9408,359.844,-1.05437
1459.0908,359.944,-1.05746
1459.2402,360.044,-1.06074
1459.392,360.144,-1.06389
1459.5438,360.244,-1.06656
1459.6944,360.344,-1.06798
1459.845,360.444,-1.06818
1459.995,360.544,-1.07122
1460.1444,360.644,-1.07591
1460.2944,360.744,-1.07931
1460.4456,360.844,-1.08248
1460.5962,360.944,-1.08417
1460.745,361.044,-1.08514
1460.8944,361.144,-1.08722
1461.0432,361.244,-1.09054
1461.1926,361.344,-1.09396
1461.3414,361.444,-1.09627
1461.4902,361.544,-1.09758
1461.639,361.644,-1.09974
1461.7884,361.744,-1.10275
1461.9372,361.844,-1.10573
1462.0848,361.944,-1.10789
1462.2324,362.044,-1.10915
1462.3806,362.144,-1.11064
1462.5288,362.244,-1.11273
1462.6776,362.344,-1.11526
1462.8252,362.444,-1.11887
1462.9722,362.544,-1.12167
1463.1192,362.644,-1.12365
1463.2662,362.744,-1.12632
1463.4138,362.844,-1.12775
1463.5608,362.944,-1.12993
1463.7066,363.044,-1.13365
1463.8536,363.144,-1.1362
1464,363.244,-1.1377
1464.1464,363.344,-1.13962
1464.2934,363.444,-1.14203
1464.4398,363.544,-1.14313
1464.5856,363.644,-1.14555
1464.7308,363.744,-1.14903
1464.876,363.844,-1.15118
1465.0212,363.944,-1.15241
1465.1664,364.044,-1.15445
1465.3116,364.144,-1.15746
1465.4556,364.244,-1.15989
1465.5996,364.344,-1.16169
1465.7442,364.444,-1.16468
1465.8888,364.544,-1.16894
1466.0328,364.644,-1.17114
1466.1774,364.744,-1.17268
1466.3226,364.844,-1.17469
1466.466,364.944,-1.17711
1466.6094,365.044,-1.18064
1466.7528,365.144,-1.18391
1466.895,365.244,-1.18627
1467.0366,365.344,-1.1892
1467.1788,365.444,-1.19187
1467.321,365.544,-1.1941
1467.4632,365.644,-1.19645
1467.6054,365.744,-1.19847
1467.7476,365.844,-1.20109
1467.8898,365.944,-1.20426
1468.0326,366.044,-1.20583
1468.1754,366.144,-1.20718
1468.3176,366.244,-1.20953
1468.458,366.344,-1.21263
1468.5996,366.444,-1.21556
1468.7418,366.544,-1.21788
1468.8834,366.644,-1.21949
1469.0244,366.744,-1.22051
1469.1666,366.844,-1.22251
1469.3082,366.944,-1.22593
