Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
865,38.246,122,467.83
866,38.176,122.1,479.31
867,38.056,121.5,478.8
868,38.026,121.9,474.59
869,37.966,121.1,486.84
870,37.896,122,472.92
871,37.796,119.3,477.34
872,37.736,119.8,477.69
873,37.726,120.3,480.86
874,37.656,118.7,478.46
875,37.576,119.6,479.73
876,37.476,118.7,476.15
877,37.436,120.1,481.45
878,37.326,118.8,479.9
879,37.266,119.6,481.09
880,37.226,119.8,478.89
881,37.116,121.5,485.8
882,37.086,121,484.98
883,37.006,119.3,486.31
884,36.956,119.8,484.45
885,36.876,118.7,484.91
886,36.766,119.3,494.13
887,36.716,118.5,487.04
888,36.656,120.3,492.06
889,36.586,121.5,485.98
890,36.516,120,491.99
891,36.446,120.6,489.2
892,36.356,120.1,498.25
893,36.306,119.1,495.96
894,36.256,119.7,495.98
895,36.216,119.1,489.15
896,36.116,122.1,491
897,36.036,119.6,490.37
898,36.016,120.2,501.79
899,35.916,118.8,491.37
900,35.796,120.7,498.21
901,35.736,120.3,498.54
902,35.686,119,497.32
903,35.616,121,499.03
904,35.536,120.5,500.01
905,35.466,119.4,499.91
906,35.426,118.3,500.7
907,35.366,120.5,500.85
908,35.286,121,503.08
909,35.226,118.3,502.88
910,35.126,118,503
911,35.046,118.8,504.54
912,35.006,120.8,505.45
913,34.926,120.2,505.2
914,34.876,121.8,501.96
915,34.806,118.5,502.58
916,34.746,118.9,503.38
917,34.676,119.2,505.09
918,34.606,118.9,506
919,34.556,120.2,508.67
920,34.486,121.2,505.77
921,34.415,119.2,507.71
922,34.315,121.2,504.52
923,34.205,120.3,517.41
924,34.145,124.2,512.14
925,34.095,119.1,512.71
926,34.045,119.3,509.53
927,33.975,120.5,513.57
928,33.915,118.3,511.81
929,33.855,119.8,518.22
930,33.795,120.8,516.31
931,33.735,118.2,519.2
932,33.635,118,517.87
933,33.545,118.5,515.53
934,33.485,117.2,513.33
935,33.465,120,519.21
936,33.375,117.6,517.68
937,33.325,118.3,520.7
938,33.285,119.4,514.27
939,33.215,119.1,512.22
940,33.125,118.4,528.01
941,33.065,120.8,523.15
942,33.025,120.6,520.96
943,32.945,120.8,524.06
944,32.885,121.5,521.81
945,32.745,122.7,522.79
946,32.715,118.4,523.39
947,32.655,120.9,524.6
948,32.605,119.9,524.69
949,32.525,119,514.66
