time (s),Temperature (K),Mass (mg)
1423.2,812,-0.011
1424.7,812.5,-0.011
1426.1,813,-0.011
1427.6,813.5,-0.011
1429.1,814,-0.011
1430.6,814.5,-0.011
1432,815,-0.011
1433.5,815.5,-0.011
1435,816,-0.011
1436.5,816.5,-0.011
1437.9,817,-0.011
1439.4,817.5,-0.011
