time (s),Mass (g),T_back (K)
1360,0.071,642.02
1361,0.219,641.96
1362,-0.024,642.10
1363,0.214,642.56
1364,0.058,642.87
1365,0.153,642.95
1366,0.174,643.07
1367,0.006,642.97
1368,0.146,643.16
1369,0.043,643.70
1370,0.185,644.15
1371,0.067,644.50
1372,0.073,644.46
1373,0.165,644.61
1374,-0.028,644.98
1375,0.051,645.33
1376,-0.015,645.57
1377,-0.016,646.38
1378,0.067,646.36
1379,0.059,646.06
1380,0.029,646.41
1381,-0.062,647.03
1382,0.070,647.54
1383,0.013,647.81
1384,0.081,647.54
1385,0.002,647.50
1386,0.017,647.90
1387,0.054,648.04
1388,0.047,647.88
1389,0.073,648.54
1390,-0.065,648.64
1391,0.022,648.82
1392,-0.063,648.70
1393,-0.095,649.35
1394,0.001,649.88
1395,-0.069,650.10
1396,-0.009,650.24
1397,-0.077,649.66
1398,-0.035,650.02
1399,-0.099,650.47
1400,-0.053,650.65
1401,0.098,650.83
1402,-0.091,650.91
1403,0.057,651.46
1404,-0.004,651.85
1405,-0.132,651.72
1406,-0.037,651.61
1407,-0.163,651.50
1408,-0.151,652.07
1409,-0.028,652.25
1410,-0.228,652.07
1411,-0.120,651.87
1412,0.053,652.14
1413,-0.065,652.62
1414,-0.232,652.79
1415,-0.105,653.13
1416,-0.143,653.18
1417,-0.073,652.84
1418,-0.089,653.03
1419,-0.236,653.44
1420,-0.165,653.65
1421,-0.289,653.93
1422,0.005,654.15
1423,-0.125,654.17
1424,-0.253,654.28
1425,-0.059,654.16
1426,-0.158,654.27
1427,-0.113,654.44
1428,-0.196,654.00
1429,-0.074,654.28
1430,-0.175,654.44
1431,-0.155,654.55
1432,-0.236,654.49
1433,-0.102,655.30
1434,-0.198,655.03
1435,-0.120,655.01
1436,-0.317,655.25
1437,-0.145,655.45
1438,-0.267,655.69
1439,-0.128,655.62
1440,-0.219,655.67
1441,-0.155,656.17
1442,-0.207,656.46
1443,-0.205,656.64
1444,-0.085,656.69
1445,-0.391,656.88
1446,-0.117,657.12
1447,-0.291,657.22
1448,-0.100,657.14
1449,-0.331,657.60
1450,-0.135,657.29
1451,-0.332,657.22
1452,-0.230,657.11
1453,-0.301,657.18
1454,-0.244,657.10
1455,-0.282,657.21
1456,-0.205,657.56
1457,-0.267,657.62
1458,-0.215,657.80
1459,-0.439,657.97
1460,-0.264,658.11
1461,-0.299,658.16
1462,-0.256,658.42
1463,-0.294,658.42
1464,-0.322,658.93
1465,-0.191,658.59
1466,-0.296,658.75
1467,-0.228,659.12
1468,-0.248,659.19
1469,-0.359,658.86
1470,-0.343,658.96
1471,-0.357,659.25
1472,-0.383,659.54
1473,-0.384,659.96
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
