Time (s),Mass (g),MLR (g/s),TC back 1 (K),TC back 2 (K),TC back 3 (K)
625,96.04,0.10,392.45,382.85,393.45
626,96.04,0.06,392.55,382.85,393.45
627,95.97,0.01,392.65,382.85,393.55
628,95.90,-0.02,392.75,382.95,393.65
629,95.88,0.03,392.85,382.95,393.75
630,95.94,0.08,392.95,382.95,393.85
631,95.95,0.05,393.05,383.05,393.95
632,95.87,-0.02,393.05,383.05,394.05
633,95.79,-0.05,393.15,383.15,394.15
634,95.75,0.04,393.35,383.15,394.25
635,95.70,0.09,393.35,383.15,394.35
636,95.67,0.06,393.55,383.15,394.45
637,95.63,0.04,393.65,383.25,394.55
638,95.66,0.04,393.75,383.25,394.55
639,95.73,0.04,393.75,383.35,394.75
640,95.76,0.01,393.95,383.35,394.85
641,95.64,-0.06,393.95,383.35,394.85
642,95.65,-0.07,394.15,383.45,394.95
643,95.80,0.06,394.25,383.45,395.15
644,95.74,0.08,394.35,383.45,395.15
645,95.47,-0.11,394.45,383.45,395.35
646,95.32,-0.08,394.55,383.55,395.45
647,95.30,0.19,394.55,383.55,395.45
648,95.33,0.24,394.75,383.65,395.65
649,95.30,0.08,394.85,383.65,395.75
650,95.29,-0.02,394.95,383.65,395.75
651,95.27,-0.00,395.05,383.75,395.95
652,95.24,0.02,395.15,383.75,396.05
653,95.23,0.01,395.25,383.75,396.15
654,95.25,0.03,395.35,383.85,396.25
655,95.27,0.02,395.45,383.85,396.35
656,95.11,-0.01,395.55,383.85,396.45
657,94.90,-0.03,395.75,383.95,396.55
658,94.94,0.07,395.85,384.05,396.75
659,95.00,0.22,395.95,384.05,396.75
660,94.97,0.10,396.05,384.05,396.95
661,94.90,-0.08,396.15,384.15,397.15
662,94.92,-0.02,396.25,384.15,397.15
663,94.97,0.06,396.35,384.25,397.25
664,95.03,0.03,396.55,384.25,397.45
665,94.87,-0.04,396.55,384.25,397.45
666,94.74,-0.08,396.75,384.35,397.65
667,94.76,0.05,396.85,384.35,397.75
668,94.76,0.17,396.95,384.35,397.85
669,94.69,0.06,397.05,384.45,397.95
670,94.60,-0.02,397.15,384.45,398.15
671,94.55,0.03,397.25,384.55,398.15
672,94.57,0.08,397.45,384.55,398.35
673,94.63,0.08,397.55,384.65,398.45
674,94.65,0.02,397.65,384.65,398.55
675,94.64,-0.05,397.75,384.65,398.75
676,94.56,-0.04,397.95,384.75,398.85
677,94.46,-0.01,398.05,384.75,398.85
678,94.46,0.05,398.15,384.85,399.05
679,94.44,0.10,398.25,384.85,399.25
680,94.40,0.05,398.35,384.85,399.35
681,94.32,0.00,398.55,384.95,399.45
682,94.28,0.03,398.65,384.95,399.65
683,94.25,0.07,398.75,385.05,399.75
684,94.20,0.07,398.85,385.05,399.85
685,94.22,0.03,399.05,385.15,400.05
686,94.18,0.05,399.15,385.15,400.05
687,94.15,0.01,399.25,385.15,400.25
688,94.13,0.01,399.45,385.25,400.35
689,94.13,0.04,399.55,385.25,400.45
690,94.11,0.02,399.75,385.35,400.65
691,93.99,0.01,399.85,385.35,400.75
692,93.99,0.00,399.95,385.35,400.85
693,93.98,0.08,400.05,385.45,401.05
694,93.96,0.07,400.25,385.55,401.25
695,93.94,-0.01,400.35,385.55,401.25
696,93.95,0.02,400.55,385.65,401.45
697,93.89,0.03,400.65,385.75,401.55
698,93.81,0.00,400.75,385.75,401.65
699,93.71,0.02,400.95,385.85,401.85
700,93.66,0.07,401.05,385.85,402.05
701,93.68,0.09,401.15,385.85,402.15
702,93.67,0.08,401.35,385.95,402.35
703,93.68,0.01,401.45,386.05,402.45
704,93.64,-0.00,401.55,386.05,402.55
705,93.65,-0.00,401.75,386.15,402.75
706,93.74,0.01,401.95,386.15,402.95
707,93.65,0.03,402.05,386.25,403.05
708,93.60,-0.06,402.15,386.25,403.15
709,93.64,-0.01,402.35,386.35,403.35
710,93.59,0.09,402.35,386.35,403.45
711,93.41,-0.01,402.55,386.45,403.65
712,93.35,-0.01,402.75,386.55,403.85
713,93.41,0.13,402.85,386.55,403.95
714,93.42,0.14,403.05,386.65,404.15
715,93.41,-0.01,403.25,386.75,404.35
716,93.37,-0.04,403.35,386.75,404.45
717,93.31,-0.00,403.55,386.85,404.65
718,93.28,0.02,403.75,386.85,404.85
719,93.25,0.06,403.75,386.85,404.95
720,93.16,0.05,403.95,386.95,405.15
721,93.15,0.02,404.15,387.05,405.35
722,93.20,0.06,404.25,387.05,405.45
723,93.22,0.06,404.45,387.15,405.65
724,93.17,-0.03,404.65,387.25,405.85
725,93.06,-0.04,404.75,387.25,405.95
726,93.01,0.02,404.95,387.35,406.15
727,93.00,0.09,405.15,387.45,406.35
728,92.99,0.09,405.25,387.55,406.45
729,92.98,0.02,405.45,387.55,406.65
730,92.87,0.01,405.65,387.65,406.85
731,92.83,-0.00,405.75,387.75,406.95
732,92.84,0.07,405.95,387.75,407.15
733,92.84,0.09,406.15,387.85,407.45
734,92.77,0.01,406.25,387.85,407.55
735,92.68,-0.02,406.45,387.95,407.75
736,92.58,0.03,406.65,388.05,407.95
737,92.52,0.08,406.75,388.15,408.05
738,92.61,0.10,406.95,388.15,408.25
739,92.67,0.09,407.15,388.25,408.45
740,92.59,-0.03,407.25,388.35,408.55
741,92.54,-0.09,407.45,388.45,408.75
742,92.61,0.02,407.65,388.55,408.95
743,92.58,0.08,407.75,388.55,409.05
744,92.51,-0.02,407.95,388.65,409.25
745,92.52,-0.04,408.15,388.75,409.55
746,92.43,0.07,408.25,388.75,409.65
747,92.33,0.02,408.45,388.85,409.85
748,92.30,0.03,408.65,388.95,410.05
749,92.24,0.11,408.85,389.05,410.15
750,92.28,0.07,409.05,389.15,410.45
751,92.48,0.05,409.25,389.25,410.65
752,92.46,0.03,409.35,389.25,410.75
753,92.28,-0.15,409.55,389.35,410.95
754,92.15,-0.12,409.85,389.45,411.25
755,92.07,0.12,409.85,389.55,411.35
756,92.03,0.17,410.15,389.65,411.55
757,92.12,0.11,410.35,389.75,411.75
758,92.17,0.07,410.45,389.75,411.85
759,92.16,-0.03,410.65,389.85,412.05
760,92.08,-0.09,410.85,389.95,412.25
761,91.94,-0.02,411.05,390.05,412.45
762,91.88,0.05,411.25,390.15,412.65
763,91.91,0.12,411.45,390.25,412.85
764,91.96,0.11,411.55,390.35,412.95
765,91.92,0.01,411.85,390.45,413.25
766,91.85,-0.06,412.05,390.55,413.45
767,91.78,-0.01,412.15,390.55,413.55
768,91.67,0.06,412.35,390.75,413.75
769,91.73,0.08,412.65,390.85,413.95
770,91.94,0.10,412.75,390.85,414.15
771,91.96,0.04,412.95,391.05,414.35
772,91.84,-0.16,413.15,391.15,414.55
773,91.74,-0.14,413.25,391.15,414.65
774,91.73,0.06,413.55,391.25,414.95
775,91.63,0.13,413.75,391.45,415.15
776,91.56,0.05,413.85,391.45,415.25
777,91.56,0.05,414.15,391.55,415.45
778,91.56,0.10,414.35,391.75,415.65
779,91.43,0.03,414.45,391.75,415.85
780,91.28,-0.01,414.65,391.85,416.05
781,91.30,0.06,414.95,392.05,416.25
782,91.35,0.16,415.05,392.05,416.45
783,91.37,0.07,415.25,392.15,416.65
784,91.37,-0.05,415.55,392.35,416.85
785,91.30,-0.04,415.65,392.35,417.05
786,91.30,-0.01,415.85,392.55,417.25
787,91.28,0.04,416.15,392.65,417.45
788,91.23,0.03,416.25,392.75,417.55
789,91.20,0.00,416.45,392.85,417.85
790,91.23,0.04,416.75,392.95,418.15
791,91.23,0.05,416.85,393.05,418.25
792,90.95,-0.01,417.05,393.15,418.45
793,90.80,-0.05,417.35,393.35,418.65
794,90.97,0.15,417.45,393.35,418.85
795,91.16,0.26,417.65,393.55,419.05
796,91.17,-0.02,417.95,393.65,419.25
797,91.08,-0.22,418.05,393.75,419.45
798,90.96,-0.11,418.35,393.85,419.65
799,90.99,0.05,418.55,394.05,419.95
800,90.91,0.12,418.65,394.15,420.05
801,90.83,0.04,418.95,394.25,420.25
802,90.93,0.01,419.15,394.45,420.55
803,90.95,0.10,419.25,394.55,420.65
804,90.83,-0.01,419.55,394.65,420.85
805,90.72,-0.08,419.75,394.75,421.15
806,90.74,0.05,419.95,394.85,421.25
807,90.72,0.14,420.15,395.05,421.55
808,90.65,0.04,420.45,395.15,421.75
809,90.63,-0.01,420.55,395.25,421.95
810,90.67,0.05,420.85,395.45,422.15
811,90.66,0.06,421.05,395.55,422.45
812,90.62,-0.02,421.25,395.65,422.55
813,90.62,-0.02,421.45,395.75,422.75
814,90.51,0.03,421.75,395.95,423.05
815,90.38,0.01,421.85,396.05,423.15
816,90.41,0.05,422.15,396.15,423.35
817,90.49,0.14,422.45,396.35,423.65
818,90.57,0.05,422.55,396.45,423.75
819,90.51,-0.06,422.75,396.55,423.95
820,90.36,-0.10,423.05,396.75,424.25
821,90.33,-0.02,423.25,396.85,424.35
822,90.30,0.13,423.45,396.95,424.65
823,90.23,0.10,423.75,397.15,424.85
824,90.18,0.01,423.85,397.25,424.95
825,90.25,0.05,424.15,397.45,425.25
826,90.24,0.08,424.45,397.65,425.45
827,90.14,-0.02,424.55,397.65,425.65
828,90.15,-0.05,424.85,397.85,425.85
829,90.11,0.07,425.05,398.05,426.15
830,90.10,0.05,425.25,398.15,426.25
831,90.17,0.01,425.45,398.35,426.45
832,90.13,0.04,425.75,398.45,426.75
833,90.06,-0.04,425.85,398.55,426.85
834,90.10,-0.03,426.15,398.75,427.05
835,90.11,0.07,426.45,398.95,427.35
836,89.96,0.02,426.55,399.05,427.45
837,89.89,-0.05,426.85,399.15,427.75
838,89.91,0.08,427.15,399.35,427.95
839,89.89,0.13,427.25,399.45,428.05
840,89.83,0.01,427.55,399.65,428.35
841,89.85,-0.01,427.85,399.85,428.65
842,89.83,0.05,427.95,399.95,428.75
843,89.75,0.02,428.25,400.15,429.05
844,89.65,-0.01,428.55,400.35,429.25
845,89.60,0.05,428.65,400.45,429.35
846,89.56,0.10,428.95,400.65,429.65
847,89.61,0.08,429.15,400.85,429.85
848,89.71,0.05,429.35,400.95,430.05
849,89.60,-0.00,429.65,401.15,430.25
850,89.55,-0.10,429.95,401.35,430.55
851,89.58,0.01,430.05,401.45,430.65
852,89.48,0.10,430.35,401.65,430.95
853,89.40,-0.00,430.65,401.85,431.15
854,89.40,0.03,430.75,401.95,431.25
855,89.42,0.10,431.05,402.15,431.55
856,89.35,0.04,431.35,402.35,431.75
857,89.30,-0.02,431.45,402.45,431.95
858,89.32,0.02,431.75,402.65,432.15
859,89.29,0.07,432.05,402.85,432.45
860,89.26,0.01,432.25,403.05,432.55
861,89.23,-0.00,432.45,403.25,432.85
862,89.28,0.04,432.75,403.45,433.15
863,89.27,0.03,432.95,403.55,433.25
864,89.24,-0.02,433.15,403.75,433.45
865,89.15,-0.02,433.45,403.95,433.75
866,89.10,0.02,433.65,404.05,433.85
867,89.09,0.06,433.85,404.25,434.15
868,89.13,0.08,434.15,404.55,434.35
869,89.14,0.03,434.35,404.65,434.55
870,88.98,-0.02,434.55,404.85,434.75
871,88.89,-0.04,434.85,405.05,435.05
872,88.88,0.08,435.05,405.25,435.15
873,88.89,0.15,435.25,405.45,435.45
874,88.94,0.04,435.55,405.65,435.75
875,88.86,-0.01,435.75,405.85,435.85
876,88.79,-0.04,436.05,406.05,436.05
877,88.91,0.01,436.35,406.25,436.35
878,88.80,0.10,436.45,406.45,436.55
879,88.73,-0.05,436.75,406.65,436.75
880,88.85,-0.01,437.05,406.85,437.05
881,88.80,0.13,437.15,406.95,437.15
882,88.57,-0.04,437.45,407.25,437.35
883,88.58,-0.07,437.75,407.45,437.65
884,88.73,0.17,437.85,407.55,437.75
885,88.76,0.13,438.15,407.85,438.05
886,88.59,-0.11,438.45,408.05,438.25
887,88.49,-0.11,438.55,408.15,438.35
888,88.51,0.09,438.85,408.45,438.65
889,88.51,0.16,439.15,408.65,438.95
890,88.48,0.04,439.35,408.75,439.05
891,88.51,-0.02,439.55,408.95,439.25
892,88.42,0.02,439.85,409.25,439.55
893,88.38,-0.01,440.05,409.35,439.65
894,88.41,0.03,440.35,409.65,439.95
895,88.34,0.08,440.65,409.85,440.15
896,88.24,-0.01,440.75,409.95,440.25
897,88.34,0.01,441.05,410.25,440.55
898,88.34,0.11,441.35,410.45,440.85
899,88.22,-0.00,441.45,410.55,440.95
900,88.22,-0.07,441.75,410.85,441.15
901,88.25,0.08,442.05,411.15,441.45
902,88.20,0.07,442.15,411.25,441.55
903,88.09,-0.04,442.45,411.45,441.85
904,88.08,0.00,442.75,411.65,442.05
905,88.15,0.09,442.95,411.85,442.15
906,88.08,0.08,443.25,412.05,442.45
907,87.97,-0.05,443.55,412.35,442.65
908,87.98,-0.01,443.65,412.55,442.85
909,87.98,0.11,443.95,412.75,443.05
910,87.93,0.05,444.25,413.05,443.35
911,87.97,-0.02,444.35,413.15,443.45
912,87.95,0.03,444.65,413.45,443.75
913,87.90,-0.00,444.95,413.65,443.95
914,87.92,-0.02,445.05,413.85,444.05
915,87.85,0.05,445.35,414.05,444.35
916,87.77,0.01,445.65,414.35,444.55
917,87.79,0.02,445.85,414.45,444.75
918,87.82,0.09,446.05,414.65,444.95
919,87.85,0.03,446.35,414.95,445.15
920,87.72,-0.03,446.55,415.05,445.35
921,87.77,-0.04,446.85,415.35,445.65
922,87.79,0.07,447.05,415.55,445.85
923,87.63,0.04,447.25,415.75,445.95
924,87.55,-0.07,447.55,416.05,446.25
925,87.57,0.08,447.85,416.25,446.55
926,87.55,0.14,447.95,416.35,446.65
927,87.55,0.02,448.25,416.65,446.95
928,87.58,-0.00,448.55,416.95,447.15
929,87.42,0.01,448.65,417.05,447.35
930,87.45,-0.04,448.95,417.35,447.55
931,87.48,0.08,449.25,417.65,447.85
932,87.36,0.08,449.35,417.75,447.95
933,87.24,-0.06,449.65,418.05,448.15
934,87.36,0.04,449.95,418.25,448.35
935,87.36,0.15,450.15,418.45,448.55
936,87.36,-0.01,450.35,418.65,448.75
937,87.22,-0.08,450.65,418.95,449.05
938,87.14,-0.00,450.85,419.05,449.15
939,87.20,0.08,451.05,419.35,449.35
940,87.20,0.14,451.35,419.65,449.65
941,87.14,-0.00,451.55,419.75,449.75
942,87.11,-0.05,451.85,420.05,449.95
943,87.12,0.04,452.05,420.35,450.25
944,87.06,0.06,452.25,420.45,450.35
945,87.10,-0.00,452.55,420.75,450.65
946,86.98,0.03,452.85,421.05,450.85
947,86.93,0.00,452.95,421.15,451.05
948,86.93,0.04,453.25,421.45,451.25
949,87.01,0.11,453.55,421.75,451.55
950,87.00,0.02,453.65,421.85,451.65
951,86.97,-0.05,453.95,422.15,451.85
952,86.86,-0.04,454.25,422.45,452.15
953,86.83,0.02,454.35,422.55,452.25
954,86.73,0.08,454.65,422.85,452.45
955,86.71,0.07,454.95,423.15,452.75
956,86.73,0.06,455.05,423.25,452.85
957,86.65,0.07,455.35,423.55,453.05
958,86.73,-0.02,455.65,423.85,453.35
959,86.74,0.04,455.75,424.05,453.45
960,86.67,0.01,456.05,424.35,453.65
961,86.68,-0.06,456.35,424.55,453.95
962,86.62,0.04,456.55,424.75,454.05
963,86.49,0.03,456.85,425.05,454.25
964,86.49,0.02,457.05,425.25,454.55
965,86.55,0.11,457.25,425.45,454.65
966,86.54,0.08,457.45,425.65,454.95
967,86.47,-0.05,457.75,425.95,455.15
968,86.46,-0.04,457.95,426.15,455.25
969,86.52,0.05,458.15,426.45,455.55
970,86.38,0.05,458.45,426.75,455.85
971,86.28,-0.05,458.55,426.85,455.95
972,86.27,0.04,458.85,427.15,456.15
973,86.35,0.15,459.15,427.45,456.45
974,86.34,0.06,459.25,427.55,456.55
975,86.30,-0.05,459.55,427.85,456.75
976,86.29,-0.05,459.85,428.15,457.05
977,86.27,0.04,459.95,428.35,457.15
978,86.15,0.03,460.25,428.55,457.35
979,86.11,0.00,460.55,428.85,457.65
980,86.23,0.07,460.65,429.05,457.75
981,86.21,0.11,460.95,429.35,457.95
982,86.08,-0.06,461.25,429.65,458.15
983,86.00,-0.07,461.35,429.75,458.35
984,86.04,0.09,461.65,430.05,458.55
985,85.94,0.12,461.95,430.35,458.75
986,85.89,0.00,462.05,430.45,458.95
987,86.02,0.02,462.35,430.75,459.15
988,85.88,0.10,462.65,431.05,459.45
989,85.78,-0.07,462.75,431.25,459.55
990,85.85,-0.01,463.05,431.55,459.75
991,85.75,0.16,463.25,431.85,459.95
992,85.68,0.00,463.45,431.95,460.05
993,85.69,0.00,463.75,432.25,460.25
994,85.73,0.10,463.95,432.55,460.55
995,85.75,0.03,464.15,432.65,460.65
996,85.67,-0.03,464.45,432.95,460.95
997,85.59,-0.04,464.65,433.25,461.15
998,85.65,0.03,464.85,433.35,461.25
999,85.73,0.09,465.05,433.65,461.55
1000,85.63,0.01,465.35,433.95,461.75
1001,85.47,-0.10,465.45,434.15,461.85
1002,85.50,0.00,465.75,434.45,462.05
1003,85.55,0.16,466.05,434.75,462.35
1004,85.47,0.07,466.15,434.85,462.45
1005,85.47,-0.07,466.45,435.25,462.65
1006,85.45,0.02,466.65,435.45,462.95
1007,85.45,0.05,466.85,435.65,463.05
1008,85.40,0.01,467.05,435.95,463.25
1009,85.39,0.01,467.35,436.25,463.45
1010,85.36,0.03,467.55,436.35,463.65
1011,85.24,0.04,467.75,436.65,463.85
1012,85.30,0.01,468.05,436.95,464.15
1013,85.28,0.09,468.15,437.15,464.25
1014,85.20,0.03,468.45,437.45,464.45
1015,85.18,-0.04,468.75,437.75,464.65
1016,85.19,0.06,468.85,437.85,464.75
1017,85.14,0.06,469.15,438.15,465.05
1018,85.14,-0.00,469.35,438.45,465.25
1019,85.09,0.02,469.55,438.65,465.35
1020,85.02,0.03,469.75,438.95,465.65
1021,85.02,0.01,470.05,439.25,465.85
1022,84.98,0.07,470.15,439.35,465.95
1023,85.03,0.04,470.45,439.65,466.15
1024,85.06,0.02,470.75,439.95,466.45
1025,84.86,-0.00,470.85,440.05,466.55
1026,84.87,-0.07,471.15,440.35,466.75
1027,84.91,0.10,471.35,440.65,467.05
1028,84.86,0.12,471.45,440.85,467.15
1029,84.80,-0.05,471.75,441.15,467.35
1030,84.79,-0.00,472.05,441.35,467.55
1031,84.80,0.07,472.15,441.55,467.65
1032,84.78,0.04,472.45,441.85,467.85
1033,84.77,-0.01,472.65,442.15,468.15
1034,84.64,0.00,472.85,442.25,468.25
1035,84.58,0.01,473.05,442.55,468.45
1036,84.65,0.07,473.35,442.85,468.65
1037,84.63,0.11,473.45,443.05,468.85
1038,84.54,-0.01,473.75,443.35,469.05
1039,84.53,-0.04,473.95,443.65,469.25
1040,84.58,0.07,474.05,443.75,469.35
1041,84.55,0.06,474.35,444.05,469.65
1042,84.48,-0.03,474.65,444.35,469.85
1043,84.47,-0.02,474.75,444.55,469.95
1044,84.50,0.06,474.95,444.85,470.15
1045,84.42,0.05,475.25,445.15,470.45
1046,84.43,-0.03,475.35,445.25,470.55
1047,84.39,0.03,475.65,445.55,470.75
1048,84.33,0.04,475.85,445.85,470.95
1049,84.27,0.01,475.95,445.95,471.15
1050,84.26,0.06,476.25,446.25,471.35
1051,84.30,0.06,476.55,446.55,471.55
1052,84.24,0.04,476.65,446.75,471.65
1053,84.22,-0.02,476.85,446.95,471.85
1054,84.14,0.01,477.15,447.25,472.05
1055,84.08,0.04,477.25,447.45,472.25
1056,84.05,0.05,477.55,447.75,472.45
1057,84.02,0.08,477.75,448.05,472.65
1058,84.00,0.04,477.95,448.15,472.75
1059,83.94,0.03,478.15,448.45,472.95
1060,83.97,0.02,478.45,448.75,473.15
1061,83.99,0.04,478.55,448.85,473.25
1062,83.88,0.02,478.75,449.15,473.55
1063,83.85,-0.04,478.95,449.45,473.75
1064,83.88,0.06,479.15,449.65,473.85
1065,83.85,0.08,479.35,449.95,474.05
1066,83.87,-0.01,479.65,450.15,474.35
1067,83.77,-0.00,479.75,450.35,474.45
1068,83.73,0.00,480.05,450.65,474.65
1069,83.73,0.04,480.25,450.95,474.85
1070,83.74,0.08,480.45,451.05,474.95
1071,83.69,0.01,480.65,451.35,475.25
1072,83.66,-0.01,480.85,451.65,475.45
1073,83.61,0.02,481.05,451.75,475.55
1074,83.59,0.04,481.25,452.05,475.75
1075,83.55,0.04,481.45,452.35,475.95
1076,83.55,0.03,481.65,452.55,476.05
1077,83.48,0.03,481.85,452.85,476.25
1078,83.45,0.02,482.05,453.15,476.45
1079,83.48,0.03,482.25,453.25,476.65
1080,83.41,0.06,482.45,453.55,476.85
1081,83.36,-0.01,482.75,453.85,477.05
1082,83.32,0.01,482.85,454.05,477.15
1083,83.34,0.07,483.15,454.25,477.35
1084,83.35,0.05,483.35,454.55,477.55
1085,83.30,0.01,483.45,454.75,477.65
1086,83.22,-0.02,483.75,455.05,477.95
1087,83.25,0.02,483.95,455.35,478.15
1088,83.22,0.08,484.05,455.45,478.25
1089,83.19,0.02,484.35,455.75,478.45
1090,83.25,-0.01,484.55,456.05,478.65
1091,83.16,0.04,484.65,456.15,478.75
1092,83.06,-0.03,484.95,456.45,478.95
1093,83.09,0.01,485.15,456.75,479.15
1094,83.06,0.12,485.25,456.85,479.25
1095,82.97,0.03,485.45,457.15,479.55
1096,83.01,-0.02,485.75,457.45,479.75
1097,82.88,0.07,485.85,457.65,479.85
1098,82.79,0.02,486.15,457.85,480.05
1099,82.89,0.04,486.35,458.15,480.25
1100,82.89,0.14,486.45,458.35,480.45
1101,82.87,-0.01,486.65,458.65,480.65
1102,82.84,-0.07,486.95,458.95,480.85
1103,82.79,0.02,487.05,459.05,480.95
1104,82.72,0.03,487.25,459.35,481.15
1105,82.72,0.04,487.55,459.65,481.35
1106,82.67,0.07,487.65,459.75,481.45
1107,82.66,0.03,487.85,460.05,481.65
1108,82.65,0.02,488.15,460.25,481.95
1109,82.63,0.04,488.25,460.45,482.05
1110,82.61,0.01,488.45,460.75,482.25
1111,82.55,0.01,488.75,461.05,482.45
1112,82.55,0.02,488.85,461.15,482.55
1113,82.49,0.04,489.05,461.45,482.75
1114,82.43,0.03,489.35,461.65,482.95
1115,82.48,0.02,489.45,461.85,483.05
1116,82.49,0.08,489.65,462.15,483.25
1117,82.34,0.00,489.85,462.35,483.45
1118,82.30,-0.05,489.95,462.55,483.55
1119,82.31,0.08,490.25,462.75,483.75
1120,82.30,0.11,490.45,463.05,483.95
1121,82.25,0.01,490.55,463.25,484.05
1122,82.19,-0.01,490.75,463.45,484.25
1123,82.22,0.03,491.05,463.75,484.45
1124,82.24,0.06,491.15,463.95,484.65
1125,82.18,0.01,491.35,464.25,484.85
1126,82.14,-0.04,491.65,464.45,485.05
1127,82.09,0.02,491.75,464.65,485.15
1128,82.08,0.06,491.95,464.95,485.35
1129,82.14,0.05,492.25,465.15,485.55
1130,82.11,0.03,492.35,465.35,485.65
1131,82.06,-0.03,492.55,465.55,485.85
1132,81.89,-0.02,492.75,465.85,486.15
1133,81.88,0.04,492.85,466.05,486.15
1134,81.98,0.12,493.15,466.25,486.45
1135,81.90,0.11,493.35,466.55,486.55
1136,81.86,-0.07,493.45,466.65,486.75
1137,81.82,-0.01,493.65,466.95,486.95
1138,81.74,0.07,493.95,467.25,487.15
1139,81.78,0.03,494.05,467.35,487.25
1140,81.65,0.07,494.25,467.65,487.45
1141,81.64,0.01,494.45,467.95,487.55
1142,81.70,0.04,494.55,468.05,487.65
1143,81.63,0.09,494.85,468.25,487.95
1144,81.60,-0.05,495.05,468.55,488.15
1145,81.65,0.01,495.15,468.65,488.25
1146,81.52,0.07,495.35,468.95,488.45
1147,81.50,-0.03,495.65,469.25,488.65
1148,81.51,0.04,495.75,469.35,488.75
1149,81.47,0.09,495.95,469.65,488.95
1150,81.46,-0.01,496.15,469.85,489.15
1151,81.43,0.01,496.35,470.05,489.15
1152,81.36,0.03,496.45,470.25,489.35
1153,81.35,0.01,496.75,470.55,489.55
1154,81.27,0.06,496.85,470.65,489.65
1155,81.22,0.04,497.05,470.95,489.85
1156,81.29,0.04,497.25,471.25,490.05
1157,81.25,0.08,497.35,471.35,490.15
1158,81.20,-0.02,497.65,471.65,490.35
1159,81.24,-0.03,497.85,471.85,490.55
1160,81.10,0.07,497.95,472.05,490.65
1161,81.07,-0.01,498.15,472.25,490.85
1162,81.07,0.05,498.35,472.55,491.05
1163,81.02,0.10,498.45,472.65,491.15
1164,81.04,0.00,498.75,472.95,491.35
1165,81.03,0.03,498.95,473.15,491.55
1166,80.95,0.01,499.05,473.35,491.65
1167,80.88,-0.02,499.25,473.55,491.85
1168,80.91,0.05,499.45,473.85,492.05
1169,80.81,0.09,499.55,473.95,492.15
1170,80.86,0.00,499.85,474.25,492.35
1171,80.86,0.04,500.05,474.45,492.55
1172,80.71,0.03,500.15,474.65,492.65
1173,80.72,-0.05,500.35,474.85,492.85
1174,80.71,0.09,500.55,475.15,493.05
1175,80.67,0.08,500.65,475.25,493.15
1176,80.72,-0.01,500.85,475.55,493.35
1177,80.62,0.03,501.05,475.75,493.55
1178,80.56,-0.02,501.15,475.95,493.65
1179,80.56,0.02,501.45,476.15,493.85
1180,80.63,0.10,501.65,476.45,493.95
1181,80.54,0.03,501.75,476.55,494.05
1182,80.47,-0.05,501.95,476.85,494.25
1183,80.47,0.01,502.15,477.05,494.45
1184,80.37,0.10,502.25,477.15,494.55
1185,80.31,0.02,502.45,477.45,494.75
1186,80.38,0.05,502.75,477.65,494.95
1187,80.33,0.10,502.85,477.85,495.05
1188,80.29,-0.02,503.05,478.05,495.25
1189,80.25,-0.02,503.25,478.35,495.45
1190,80.21,0.05,503.35,478.45,495.55
1191,80.21,0.04,503.55,478.75,495.65
1192,80.15,0.05,503.85,478.95,495.85
1193,80.13,0.01,503.95,479.05,496.05
1194,80.11,0.03,504.15,479.35,496.15
1195,80.10,0.04,504.35,479.55,496.35
1196,80.09,0.02,504.45,479.65,496.45
1197,79.99,0.02,504.65,479.95,496.65
1198,80.03,0.00,504.85,480.15,496.85
1199,80.02,0.07,504.95,480.35,496.95
1200,79.93,0.03,505.15,480.55,497.15
1201,79.97,-0.03,505.45,480.85,497.35
1202,79.85,0.06,505.55,480.95,497.45
1203,79.83,0.02,505.75,481.25,497.65
1204,79.80,0.04,505.95,481.45,497.85
1205,79.76,0.08,506.05,481.55,497.95
1206,79.71,0.01,506.25,481.85,498.15
1207,79.69,0.04,506.45,482.05,498.35
1208,79.73,0.05,506.55,482.25,498.45
1209,79.67,0.04,506.75,482.45,498.55
1210,79.65,-0.03,507.05,482.65,498.75
1211,79.58,0.01,507.05,482.85,498.85
1212,79.44,0.04,507.35,483.05,499.05
1213,79.50,0.04,507.55,483.35,499.25
1214,79.53,0.13,507.65,483.45,499.35
1215,79.40,0.04,507.85,483.65,499.55
1216,79.37,-0.08,508.05,483.95,499.65
1217,79.37,0.06,508.15,484.05,499.85
1218,79.36,0.10,508.35,484.25,500.05
1219,79.40,0.01,508.55,484.55,500.15
1220,79.28,0.00,508.65,484.65,500.25
1221,79.26,-0.03,508.85,484.95,500.45
1222,79.24,0.04,509.15,485.15,500.65
1223,79.11,0.08,509.25,485.25,500.75
1224,79.06,0.00,509.45,485.55,500.95
1225,79.07,0.08,509.65,485.75,501.15
1226,79.08,0.11,509.75,485.85,501.15
1227,79.05,0.01,509.95,486.15,501.35
1228,79.05,-0.02,510.15,486.35,501.55
1229,79.00,0.02,510.25,486.45,501.65
1230,78.96,0.01,510.45,486.75,501.85
1231,78.86,0.02,510.65,486.95,502.05
1232,78.85,0.05,510.75,487.15,502.15
1233,78.87,0.08,510.95,487.35,502.35
1234,78.84,0.06,511.15,487.55,502.45
1235,78.79,-0.02,511.25,487.65,502.55
1236,78.84,0.00,511.45,487.95,502.75
1237,78.77,0.05,511.65,488.15,502.95
1238,78.69,-0.01,511.75,488.35,503.05
1239,78.68,-0.00,511.95,488.55,503.25
