Time,Sample Mass,HRR,Back Surface Temperature
[s],[g],[kW],[K]
341,45.10839844,3.902227173,
342,44.8984375,3.991619873,457.65
343,44.74847412,3.991064453,
344,44.59851074,4.000890198,459.15
345,44.45855713,3.947033997,
346,44.27862549,4.013502808,460.15
347,44.14862061,3.952902832,
348,43.94873047,3.878526611,461.15
349,43.79876709,3.986302795,
350,43.62884521,4.002016602,462.15
351,43.42889404,4.073621826,
352,43.28887939,3.981829834,463.15
353,43.05895996,4.022525024,
354,42.91900635,4.015713196,464.15
355,42.769104,4.038988647,
356,42.56915283,4.028857422,465.65
357,42.41912842,4.040844421,
358,42.2791748,3.900960083,466.65
359,42.10925293,3.965671387,
360,41.92932129,4.016637878,467.15
361,41.74938965,4.028015747,
362,41.52941895,4.071304932,469.15
363,41.3394165,4.068721313,
364,41.18951416,3.979653015,470.65
365,40.98956299,4.044197083,
366,40.84960938,4.05065155,471.15
367,40.68969727,4.097771301,
368,40.57971191,3.965494385,471.65
369,40.41973877,3.996661377,
370,40.27978516,3.994513855,472.65
371,40.09979248,4.131359558,
372,39.86987305,4.096691589,475.15
373,39.7098999,4.133893127,
374,39.61999512,4.054191284,475.15
375,39.42004395,4.119814453,
376,39.25006104,4.062394104,477.65
377,39.13012695,4.081425171,
378,38.92016602,3.959484558,479.15
379,38.77026367,3.989495239,
380,38.62023926,4.001418152,479.65
381,38.43029785,4.04228363,
382,38.24035645,4.117624512,481.15
383,38.08044434,4.062054138,
384,37.94049072,4.221694031,482.15
385,37.81048584,4.145012512,
386,37.59051514,4.069662781,483.15
387,37.35058594,4.18317749,
388,37.20068359,4.279285583,484.15
389,37.00073242,4.164416504,
390,36.79077148,4.297070618,485.65
391,36.63085938,4.252089539,
392,36.46087646,4.295924377,487.15
393,36.190979,4.213277893,
394,36.06103516,4.366738281,488.65
395,35.87103271,4.502415771,
396,35.77111816,4.321532288,489.65
397,35.55114746,4.301209412,
398,35.35119629,4.325247498,491.15
399,35.21124268,4.295656433,
400,35.03125,4.287665405,492.65
401,34.88134766,4.279968872,
402,34.64141846,4.365101929,494.15
403,34.49145508,4.360927734,
404,34.30151367,4.457871399,495.15
405,34.15155029,4.322390747,
406,33.96154785,4.359822388,497.15
407,33.77166748,4.385575256,
408,33.5916748,4.387451782,498.65
409,33.4017334,4.285265198,
410,33.23181152,4.425242004,500.15
411,33.06188965,4.451667786,
412,32.88195801,4.464393311,502.15
413,32.69195557,4.453223877,
414,32.48199463,4.467032166,504.15
415,32.34204102,4.428143616,
416,32.20214844,4.420536499,505.65
417,32.04217529,4.374446411,
418,31.85217285,4.437709045,507.15
419,31.68225098,4.429371338,
420,31.5322876,4.406322021,509.15
421,31.35235596,4.217666321,
422,31.19244385,4.28036377,510.65
423,30.98248291,4.116743774,
424,30.85247803,4.182377014,512.65
425,30.68255615,4.123699646,
426,30.51263428,4.149736938,516.15
427,30.3626709,4.108435364,
428,30.19268799,4.116528931,517.15
429,30.00274658,4.197056274,
430,29.81280518,4.158042603,518.65
431,29.6628418,4.155394592,
432,29.46289063,4.343479614,520.65
433,29.27301025,4.169046631,
434,29.10296631,4.214026184,523.15
435,28.92303467,4.267789001,
436,28.71307373,4.225667419,525.15
437,28.56317139,4.295515747,
438,28.35321045,4.269911804,527.65
439,28.13330078,4.349590454,
440,27.97332764,4.383945923,529.15
441,27.94335938,4.279473877,
442,28.28320313,4.470401306,531.15
443,26.70373535,4.394627075,
444,25.94390869,4.214162292,533.65
445,25.60400391,4.194692688,
446,25.13415527,4.357127686,535.65
447,26.25384521,4.330591431,
448,26.65368652,4.366539001,538.15
449,26.42376709,4.435538025,
450,26.23382568,4.370703735,540.65
451,26.08392334,4.461252441,
452,25.84393311,4.392255859,542.65
453,25.69403076,4.39307373,
454,25.53399658,4.362418213,545.15
455,25.27416992,4.401461182,
456,25.12414551,4.399710388,548.15
457,24.97418213,4.423495483,
458,24.76428223,4.301520081,550.65
459,24.60430908,4.349799194,
460,24.42437744,4.428586121,554.65
461,24.22442627,4.480853577,
462,24.0045166,4.517409363,557.15
463,23.8145752,4.520665283,
464,23.66455078,4.67742981,561.15
465,23.50463867,4.646359558,
466,23.00476074,4.725695801,564.65
467,22.65484619,4.681414185,
468,22.09503174,4.661612244,568.65
469,21.8951416,4.503132324,
470,21.75512695,4.484087524,572.15
471,21.57519531,4.480180969,
472,21.37524414,4.566838379,574.65
473,21.20532227,4.426722107,
474,21.10528564,4.407633972,579.15
475,20.87536621,4.341886292,
476,20.74542236,4.285132446,582.15
477,20.56549072,4.458727417,
478,20.41552734,4.479702454,584.65
479,20.19561768,4.459000244,
480,20.05560303,4.377922058,587.15
481,19.91564941,4.280952148,
482,19.73571777,4.307545776,590.65
483,19.58581543,4.295187683,
484,19.45581055,4.181064758,593.15
485,19.26586914,4.171088257,
486,19.13592529,4.106520386,596.65
487,19.04589844,3.994541626,
488,18.85595703,3.991114502,598.15
489,18.73602295,4.032348328,
490,18.61602783,3.926891479,601.15
