Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
137.88,547.0,80.092,20.03,99.691,19.124,,,36.987,,,,,,
138.375,547.5,80.091,20.031,99.697,19.11,,,37.524,,,,,,
138.866,548.0,80.09,20.03,99.703,19.096,,,38.052,,,,,,
139.383,548.5,80.093,20.031,99.708,19.081,,,38.574,,,,,,
139.881,549.0,80.092,20.029,99.713,19.064,,,39.202,,,,,,
140.381,549.5,80.093,20.031,99.719,19.047,,,39.823,,,,,,
140.899,550.0,80.09,20.032,99.723,19.028,,,40.529,,,,,,
141.394,550.5,80.092,20.031,99.728,19.018,,,40.85,,,,,,
141.889,551.0,80.089,20.03,99.733,19.0,,,41.522,,,,,,
142.435,551.5,80.09,20.031,99.739,18.981,,,42.217,,,,,,
142.948,552.0,80.092,20.029,99.745,18.965,,,42.778,,,,,,
143.428,552.5,80.091,20.032,99.75,18.948,,,43.385,,,,,,
143.921,553.0,80.092,20.029,99.756,18.93,,,44.012,,,,,,
144.431,553.5,80.094,20.028,99.764,18.913,,,44.601,,,,,,
144.978,554.0,80.094,20.03,99.772,18.895,,,45.277,,,,,,
145.507,554.5,80.093,20.028,99.777,18.873,,,46.1,,,,,,
145.982,555.0,80.088,20.031,99.783,18.857,,,46.703,,,,,,
146.46,555.5,80.096,20.029,99.789,18.836,,,47.56,,,,,,
146.973,556.0,80.089,20.032,99.795,18.817,,,48.3,,,,,,
147.46,556.5,80.09,20.03,99.801,18.796,,,49.099,,,,,,
147.953,557.0,80.093,20.029,99.807,18.777,,,49.826,,,,,,
148.425,557.5,80.09,20.031,99.811,18.758,,,50.537,,,,,,
148.917,558.0,80.091,20.028,99.816,18.736,,,51.367,,,,,,
149.416,558.5,80.093,20.029,99.823,18.715,,,52.184,,,,,,
149.932,559.0,80.095,20.031,99.831,18.692,,,53.041,,,,,,
150.43,559.5,80.1,20.03,99.837,18.67,,,53.85,,,,,,
150.968,560.0,80.094,20.028,99.845,18.645,,,54.769,,,,,,
151.41,560.5,80.098,20.03,99.852,18.626,,,55.431,,,,,,
151.895,561.0,80.091,20.03,99.86,18.605,,,56.166,,,,,,
152.415,561.5,80.09,20.03,99.868,18.583,,,56.984,,,,,,
152.917,562.0,80.094,20.031,99.877,18.556,,,57.971,,,,,,
153.406,562.5,80.095,20.029,99.886,18.529,,,58.973,,,,,,
153.88,563.0,80.091,20.029,99.895,18.505,,,59.871,,,,,,
154.374,563.5,80.094,20.029,99.903,18.482,,,60.723,,,,,,
154.896,564.0,80.094,20.031,99.911,18.453,,,61.754,,,,,,
155.358,564.5,80.094,20.03,99.918,18.424,,,62.841,,,,,,
155.81,565.0,80.093,20.031,99.927,18.4,,,63.749,,,,,,
156.333,565.5,80.09,20.03,99.937,18.371,,,64.768,,,,,,
156.851,566.0,80.091,20.028,99.947,18.342,,,65.828,,,,,,
157.342,566.5,80.091,20.03,99.958,18.313,,,66.881,,,,,,
157.852,567.0,80.092,20.029,99.968,18.28,,,68.044,,,,,,
158.354,567.5,80.096,20.029,99.978,18.246,,,69.277,,,,,,
158.872,568.0,80.091,20.03,99.991,18.214,,,70.392,,,,,,
159.369,568.5,80.092,20.029,100.003,18.184,,,71.491,,,,,,
159.86,569.0,80.093,20.029,100.016,18.15,,,72.722,,,,,,
160.324,569.5,80.093,20.03,100.026,18.117,,,73.889,,,,,,
160.799,570.0,80.09,20.031,100.037,18.081,,,75.17,,,,,,
161.306,570.5,80.09,20.029,100.047,18.044,,,76.452,,,,,,
161.817,571.0,80.091,20.028,100.054,18.011,,,77.585,,,,,,
162.303,571.5,80.092,20.029,100.058,17.976,,,78.822,,,,,,
162.807,572.0,80.092,20.029,100.062,17.934,,,80.274,,,,,,
163.311,572.5,80.092,20.03,100.069,17.892,,,81.763,,,,,,
163.814,573.0,80.093,20.029,100.077,17.852,,,83.183,,,,,,
164.314,573.5,80.093,20.031,100.085,17.811,,,84.559,,,,,,
164.805,574.0,80.094,20.03,100.092,17.771,,,85.938,,,,,,
165.319,574.5,80.091,20.028,100.101,17.727,,,87.477,,,,,,
165.802,575.0,80.092,20.029,100.109,17.682,,,89.055,,,,,,
166.273,575.5,80.09,20.031,100.119,17.638,,,90.569,,,,,,
166.765,576.0,80.092,20.031,100.132,17.592,,,92.212,,,,,,
167.264,576.5,80.096,20.03,100.148,17.542,,,93.991,,,,,,
167.752,577.0,80.094,20.031,100.165,17.492,,,95.757,,,,,,
168.233,577.5,80.091,20.03,100.179,17.443,,,97.494,,,,,,
168.713,578.0,80.091,20.029,100.192,17.393,,,99.244,,,,,,
169.193,578.5,80.094,20.029,100.205,17.342,,,101.07,,,,,,
169.689,579.0,80.09,20.03,100.219,17.287,,,103.042,,,,,,
170.197,579.5,80.09,20.032,100.232,17.229,,,105.101,,,,,,
170.672,580.0,80.092,20.032,100.249,17.176,,,107.048,,,,,,
171.152,580.5,80.094,20.03,100.266,17.119,,,109.114,,,,,,
171.683,581.0,80.091,20.031,100.283,17.054,,,111.503,,,,,,
172.169,581.5,80.092,20.03,100.298,16.989,,,113.912,,,,,,
172.659,582.0,80.092,20.029,100.315,16.924,,,116.364,,,,,,
173.139,582.5,80.091,20.03,100.334,16.859,,,118.807,,,,,,
173.618,583.0,80.094,20.029,100.355,16.79,,,121.445,,,,,,
174.09,583.5,80.09,20.027,100.375,16.717,,,124.228,,,,,,
174.607,584.0,80.089,20.029,100.4,16.639,,,127.219,,,,,,
175.09,584.5,80.091,20.028,100.423,16.562,,,130.166,,,,,,
175.549,585.0,80.088,20.028,100.442,16.487,,,133.145,,,,,,
176.018,585.5,80.089,20.027,100.466,16.412,,,136.026,,,,,,
176.48,586.0,80.089,20.03,100.492,16.329,,,139.35,,,,,,
176.985,586.5,80.092,20.028,100.521,16.242,,,142.735,,,,,,
177.482,587.0,80.097,20.029,100.551,16.143,,,146.727,,,,,,
177.938,587.5,80.093,20.03,100.58,16.062,,,149.955,,,,,,
178.463,588.0,80.093,20.03,100.613,15.958,,,154.197,,,,,,
178.945,588.5,80.091,20.033,100.647,15.857,,,158.271,,,,,,
179.44,589.0,80.094,20.03,100.68,15.756,,,162.436,,,,,,
179.914,589.5,80.092,20.03,100.715,15.66,,,166.538,,,,,,
180.392,590.0,80.09,20.031,100.752,15.558,,,170.813,,,,,,
180.846,590.5,80.093,20.03,100.787,15.454,,,175.308,,,,,,
181.309,591.0,80.094,20.03,100.824,15.35,,,179.802,,,,,,
181.814,591.5,80.092,20.029,100.864,15.238,,,184.808,,,,,,
182.312,592.0,80.092,20.029,100.904,15.125,,,189.92,,,,,,
182.8,592.5,80.093,20.03,100.943,15.013,,,195.117,,,,,,
183.3,593.0,80.093,20.029,100.984,14.896,,,200.596,,,,,,
183.803,593.5,80.092,20.029,101.026,14.778,,,206.247,,,,,,
184.295,594.0,80.094,20.028,101.068,14.661,,,211.943,,,,,,
184.777,594.5,80.098,20.029,101.11,14.547,,,217.562,,,,,,
185.252,595.0,80.093,20.029,101.151,14.436,,,223.061,,,,,,
185.729,595.5,80.094,20.029,101.192,14.326,,,228.525,,,,,,
186.213,596.0,80.098,20.029,101.232,14.213,,,234.128,,,,,,
186.684,596.5,80.094,20.029,101.27,14.104,,,239.491,,,,,,
187.137,597.0,80.095,20.029,101.307,14.004,,,244.368,,,,,,
