Time [s],Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
635,4.600250559,487.3229014,
636,4.59133792,487.3906396,
637,4.583176524,487.5405877,
638,4.596879396,487.4854559,
639,4.561663377,487.5305116,
640,4.538603368,487.381333,
641,4.531147825,487.3321422,
642,4.495056589,487.1660881,
643,4.513683643,487.3706014,
644,4.563118585,487.5264075,
645,4.551602937,487.3370111,
646,4.543903536,487.6698783,
647,4.523305037,487.4068302,
648,4.522016818,487.7627731,
649,4.52559317,488.2092567,
650,4.514098156,488.1628616,
651,4.538901355,488.0869626,
652,4.551778757,487.9610701,
653,4.5284719,487.9748434,
654,4.527278852,487.8803092,
655,4.513923449,488.2095553,
656,4.478657088,488.3678465,
657,4.518204749,488.1049779,
658,4.479152875,488.1528197,
659,4.482765379,487.8826691,
660,4.505241717,488.3473458,
661,4.499966749,488.5491993,
662,4.506672485,488.6565151,
663,4.515291232,488.5137156,
664,4.503611872,488.3339454,
665,4.466088128,488.4362847,
666,4.459329723,488.3801644,
667,4.469726022,488.6433361,
668,4.479467178,488.8939783,
669,4.479089904,488.8972154,
670,4.458605184,488.8648338,
671,4.442598289,488.5225328,
672,4.44957965,488.6818789,
673,4.456704932,488.6192334,
674,4.449911089,488.7211204,
675,4.458196032,488.4897309,
676,4.479787471,488.4831583,
677,4.465352901,488.4747836,
678,4.446918162,488.8964918,
679,4.459754182,488.8820575,
680,4.462504932,488.797723,
681,4.45662694,488.7301885,
682,4.419827621,488.9749576,
683,4.399570039,489.1899586,
684,4.386501138,489.1783647,
685,4.400154955,489.0854167,
686,4.409578177,489.3185711,
687,4.406249513,489.3097385,
688,4.426081271,489.3784688,
689,4.406870039,489.5247516,
690,4.379946233,489.5291082,
691,4.37240927,489.4819049,
692,4.406778818,489.2994278,
693,4.414653639,489.3904685,
694,4.407626917,489.4601752,
695,4.411491596,489.3285513,
696,4.39103795,489.5538984,
697,4.381921815,489.5991035,
698,4.379387745,489.6694285,
699,4.356570702,489.8146294,
700,4.382386442,489.3619331,
701,4.398012001,489.3616167,
702,4.351543983,489.5979589,
703,4.374920571,489.6343406,
704,4.359859474,489.5070276,
705,4.365616341,489.4772834,
706,4.39220328,489.7615668,
707,4.368850982,489.7157044,
708,4.372641004,489.6233179,
709,4.352141462,489.867039,
710,4.334184104,489.8713923,
711,4.323162823,489.7481408,
712,4.345957721,489.9863026,
713,4.33523471,489.8925971,
714,4.35008858,490.0347876,
715,4.353085156,490.086625,
716,4.343336129,490.3709115,
717,4.335446393,490.263075,
718,4.352134875,490.0960679,
719,4.354307022,490.2461145,
720,4.324642885,490.5191731,
721,4.320988332,490.4557738,
722,4.307606502,490.3788662,
723,4.324527034,490.4972766,
724,4.3217596,490.3545129,
725,4.310604756,490.2949928,
726,4.285716736,490.5187084,
727,4.288611217,490.5528349,
728,4.315507835,490.6182817,
729,4.303000548,490.4436178,
730,4.322002398,490.5467332,
731,4.349180169,490.6950331,
732,4.331826163,490.4493599,
733,4.340319193,490.8738393,
734,4.30255264,490.6324661,
735,4.282730518,490.8631288,
736,4.309507037,490.8354665,
737,4.292974735,490.5704232,
738,4.302404231,490.5389457,
739,4.30041578,490.5977581,
740,4.298882519,490.5103022,
741,4.277996084,490.6451251,
742,4.271325591,490.7974384,
743,4.312198892,490.7303482,
744,4.29105211,490.8121058,
745,4.267326831,490.9631061,
746,4.302179187,491.0630155,
747,4.294550098,490.891362,
748,4.307107421,491.0398079,
749,4.310324201,491.0331034,
750,4.29537754,491.2153936,
751,4.257435408,491.3070008,
752,4.280999173,491.3618974,
753,4.268139068,491.2943277,
754,4.230066449,491.5316198,
755,4.212538104,491.3344799,
756,4.221154313,491.4432489,
757,4.205274709,491.6432007,
758,4.227425861,491.7184408,
759,4.243617594,491.588124,
760,4.227910453,491.6938742,
761,4.223749601,491.7030747,
762,4.264281994,491.7665452,
763,4.28232993,491.8638878,
764,4.279085328,491.8250601,
765,4.257383489,491.7629096,
766,4.233795898,491.8556897,
767,4.248358204,491.9859077,
768,4.209942476,491.8897751,
769,4.213235576,491.8803202,
770,4.217797213,491.9120903,
771,4.170883787,491.8810502,
772,4.184778424,491.9617476,
773,4.210225704,492.0440645,
774,4.208312157,492.0581639,
775,4.189002736,492.001284,
776,4.209842317,492.0104556,
777,4.210372666,492.0308907,
778,4.228091355,492.0270658,
779,4.206793522,491.9907227,
780,4.181776022,492.1041632,
781,4.211574028,492.0500263,
782,4.21637607,492.0647165,
783,4.198271064,492.1042147,
784,4.199716455,491.8886631,
785,4.2024381,491.9702034,
786,4.229032713,491.8179778,
787,4.213595003,492.0041586,
788,4.153182572,492.0024518,
789,4.199572423,491.7093972,
790,4.206987943,492.1030667,
791,4.191968031,492.0849936,
792,4.162274174,492.264012,
793,4.148340688,492.3144234,
794,4.174617226,492.3841428,
795,4.200738068,492.342794,
796,4.19614506,492.2286702,
797,4.170497856,492.1653618,
798,4.212606003,492.2994842,
799,4.192956265,492.1258936,
800,4.165186511,492.2261647,
801,4.155357362,492.1106301,
802,4.156051527,492.2179223,
803,4.132326764,492.5080188,
804,4.159682137,492.4823902,
805,4.1720921,492.2801895,
806,4.118992082,492.179152,
807,4.117930317,492.1811694,
808,4.127401492,492.3470104,
809,4.135436424,492.5749885,
810,4.155354594,492.5046685,
811,4.193857883,492.6820344,
812,4.188848256,492.6316702,
813,4.150283157,492.556231,
814,4.168207777,492.5666023,
815,4.178790614,492.7625922,
816,4.102773318,492.6485498,
817,4.075368084,492.5793034,
818,4.108221027,492.7159785,
819,4.150254885,492.6873294,
820,4.165159658,492.8262109,
821,4.158379852,492.7224308,
822,4.117412836,492.786159,
823,4.103650089,492.6159752,
824,4.132932741,492.5390026,
825,4.153530649,492.6657665,
826,4.129426943,492.742584,
827,4.139430366,492.7800026,
828,4.139843027,492.9359984,
829,4.146495164,492.8721517,
830,4.141108674,493.0252388,
831,4.136383279,493.0042693,
832,4.115504387,493.0193996,
833,4.122146342,493.1281548,
834,4.108602437,493.087979,
835,4.10382896,493.1745222,
836,4.114043684,493.3675468,
837,4.127306774,493.3579973,
838,4.114599585,493.2308037,
839,4.120651279,493.0916643,
840,4.111555547,493.0779601,
841,4.08946545,493.2251204,
842,4.052685144,493.2444599,
843,4.067590767,493.15161,
844,4.083346062,493.2006446,
845,4.03933982,493.2898131,
846,4.071002904,493.3208293,
847,4.09369991,493.2718928,
848,4.080554003,493.2642032,
849,4.077743255,493.2156205,
850,4.075901184,492.7058055,
851,4.100323751,493.2006923,
852,4.085030412,493.1480125,
853,4.044915176,493.3371826,
854,4.036192954,493.292108,
855,4.038843171,493.3271242,
856,4.034308507,493.340545,
857,4.046642828,493.1751671,
858,4.074578539,493.2111284,
859,4.087599204,493.2266841,
860,4.093000399,493.4262779,
861,4.075818102,493.4672418,
862,4.0836929,493.3416409,
863,4.077492456,493.3095074,
864,4.077861737,492.930029,
865,4.06925158,493.4778327,
866,4.079495255,493.5396014,
867,4.052337956,493.7086078,
868,4.043895908,493.6788866,
869,4.062831688,493.6654104,
870,4.077209646,493.6638761,
871,4.091226957,493.5260717,
872,4.055518126,493.5489205,
873,4.045307258,493.2030566,
874,4.059100374,493.6741328,
875,4.052540887,493.54339,
876,4.048419608,493.4987692,
877,4.007248046,493.561542,
878,3.99630498,493.4853855,
879,3.994215083,493.5204436,
880,4.005486128,493.3743541,
881,4.044385339,493.4867298,
882,4.055777801,493.7448662,
883,4.064197391,493.7878942,
884,4.084283307,493.6589579,
885,4.039982196,493.7355757,
886,4.058669386,493.7934264,
887,4.073517984,493.7498525,
888,4.056759802,493.8134524,
889,4.034294559,493.7072006,
890,4.019842815,493.895768,
891,4.061075822,493.9530994,
892,4.033558743,494.0001453,
893,3.995077133,494.0164313,
894,4.023647413,494.0229567,
895,4.033710951,494.058352,
