Time,,,(W/g)
580.5,621.153,14.833,
581,621.691,14.985,
581.5,622.188,15.182,
582,622.753,15.146,
582.5,623.265,15.056,
583,623.796,15.07,
583.5,624.326,14.739,
584,624.844,14.769,
584.5,625.345,15.201,
585,625.887,14.598,
585.5,626.412,14.422,
586,626.946,14.311,
586.5,627.427,14.346,
587,627.965,14.308,
587.5,628.483,14.426,
588,628.981,14.176,
588.5,629.502,13.89,
589,630.016,13.993,
589.5,630.565,14.476,
590,631.1,14.629,
590.5,631.591,13.832,
591,632.122,14.042,
591.5,632.649,13.846,
592,633.191,14.184,
592.5,633.678,14.057,
593,634.222,13.834,
593.5,634.719,13.938,
594,635.259,14.195,
594.5,635.773,14.01,
595,636.269,14.262,
595.5,636.791,14.466,
596,637.293,14.038,
596.5,637.854,14.176,
597,638.398,14.112,
597.5,638.912,14.175,
598,639.409,14.408,
598.5,639.901,14.298,
599,640.423,14.106,
599.5,640.963,14.555,
600,641.452,14.631,
600.5,641.973,14.284,
601,642.499,14.216,
601.5,643.064,14.385,
602,643.581,14.474,
602.5,644.086,14.489,
603,644.61,14.447,
603.5,645.14,14.907,
604,645.643,14.449,
604.5,646.161,14.168,
605,646.691,14.352,
605.5,647.182,14.464,
606,647.718,14.634,
606.5,648.258,14.477,
607,648.747,14.484,
607.5,649.254,14.628,
608,649.767,14.835,
608.5,650.267,15.016,
609,650.835,14.607,
609.5,651.352,14.522,
610,651.842,15.027,
610.5,652.343,14.937,
611,652.849,15.421,
611.5,653.367,15.156,
612,653.911,15.303,
612.5,654.413,15.081,
613,654.939,15.164,
613.5,655.434,15.408,
614,655.98,15.002,
614.5,656.504,15.138,
615,656.994,15.275,
615.5,657.497,14.633,
616,658.003,14.883,
616.5,658.567,14.833,
617,659.05,14.997,
617.5,659.583,14.652,
618,660.105,14.681,
618.5,660.608,14.68,
619,661.144,14.877,
619.5,661.658,14.602,
620,662.15,14.534,
620.5,662.693,14.669,
621,663.235,14.68,
621.5,663.735,14.643,
622,664.275,14.87,
622.5,664.778,14.633,
623,665.335,14.546,
623.5,665.857,14.632,
624,666.324,14.554,
624.5,666.873,14.521,
625,667.359,14.402,
625.5,667.858,14.642,
626,668.435,14.475,
626.5,668.931,14.629,
627,669.453,14.146,
627.5,669.989,14.562,
628,670.506,14.395,
628.5,671.056,14.531,
629,671.545,15.038,
629.5,672.045,14.575,
630,672.579,14.495,
630.5,673.087,14.307,
631,673.593,14.361,
631.5,674.134,14.726,
632,674.66,14.74,
632.5,675.131,14.568,
633,675.712,14.532,
633.5,676.182,14.686,
634,676.769,14.892,
634.5,677.273,15.104,
635,677.773,14.888,
635.5,678.306,14.702,
636,678.82,14.969,
636.5,679.292,14.96,
637,679.863,15.444,
637.5,680.392,15.154,
638,680.883,15.147,
638.5,681.418,15.598,
639,681.933,14.85,
639.5,682.454,15.069,
640,682.998,15.084,
640.5,683.505,14.962,
641,684.084,15.043,
641.5,684.59,15.063,
642,685.115,14.964,
642.5,685.567,15.022,
643,686.131,14.813,
643.5,686.643,14.936,
644,687.177,14.589,
644.5,687.716,15.462,
645,688.21,15.059,
645.5,688.716,14.941,
646,689.277,15.724,
646.5,689.764,15.161,
647,690.292,15.025,
647.5,690.789,15.636,
648,691.307,15.076,
648.5,691.83,15.224,
649,692.309,15.387,
649.5,692.892,15.4,
650,693.394,15.402,
650.5,693.916,14.99,
651,694.392,15.398,
651.5,694.939,15.118,
652,695.45,15.183,
652.5,695.939,14.857,
653,696.446,14.397,
653.5,697.004,14.584,
654,697.495,15.024,
654.5,698.014,14.98,
655,698.503,14.671,
655.5,699.029,15.036,
656,699.566,14.664,
656.5,700.101,15.037,
657,700.597,15.077,
657.5,701.109,14.857,
658,701.644,15.093,
658.5,702.183,14.675,
659,702.681,14.945,
659.5,703.203,14.658,
660,703.698,15.031,
660.5,704.222,15.026,
661,704.757,15.027,
661.5,705.243,14.978,
662,705.754,14.784,
662.5,706.311,14.626,
663,706.818,14.696,
663.5,707.323,14.986,
664,707.861,15.292,
664.5,708.351,15.194,
665,708.895,15.313,
665.5,709.438,15.035,
666,709.961,14.869,
666.5,710.459,15.091,
667,710.972,14.898,
667.5,711.482,14.99,
668,712.028,15.02,
668.5,712.537,14.668,
669,713.074,15.048,
669.5,713.563,14.811,
670,714.072,15.076,
670.5,714.619,14.911,
671,715.11,14.857,
671.5,715.66,15.063,
672,716.166,15.123,
672.5,716.68,14.826,
673,717.172,15.095,
673.5,717.762,14.79,
674,718.251,14.483,
674.5,718.748,14.658,
675,719.259,14.668,
675.5,719.785,14.533,
676,720.303,14.876,
676.5,720.846,15.408,
677,721.368,14.936,
677.5,721.878,15.031,
678,722.398,15.132,
678.5,722.919,15.111,
679,723.443,14.935,
679.5,723.972,15.066,
680,724.487,14.714,
680.5,725.039,15.619,
681,725.554,15.114,
681.5,726.072,14.968,
682,726.592,15.024,
682.5,727.073,15.37,
683,727.611,15.103,
683.5,728.157,15.159,
684,728.668,14.945,
684.5,729.19,15.207,
685,729.702,15.327,
685.5,730.228,14.892,
686,730.767,15.138,
686.5,731.261,14.892,
687,731.79,15.063,
687.5,732.31,14.704,
688,732.862,15.021,
688.5,733.386,14.831,
689,733.896,14.631,
689.5,734.425,14.488,
690,734.905,14.449,
690.5,735.431,15.065,
691,735.986,14.92,
