Time,T_back
[s],[K]
207.5,481.2
208.0,481.8
208.5,482.3
209.0,482.9
209.5,483.5
210.0,484.0
210.5,484.6
211.0,485.1
211.5,485.7
212.0,486.3
212.5,486.8
213.0,487.4
213.5,487.9
214.0,488.5
214.5,489.1
215.0,489.6
215.5,490.2
216.0,490.7
216.5,491.3
217.0,491.9
217.5,492.4
218.0,493.0
218.5,493.5
219.0,494.1
219.5,494.6
220.0,495.2
220.5,495.7
221.0,496.3
221.5,496.9
222.0,497.4
222.5,498.0
223.0,498.5
223.5,499.1
224.0,499.6
224.5,500.2
225.0,500.7
225.5,501.3
226.0,501.8
226.5,502.4
227.0,502.9
227.5,503.5
228.0,504.0
228.5,504.6
229.0,505.1
229.5,505.7
230.0,506.2
230.5,506.8
231.0,507.3
231.5,507.9
232.0,508.4
232.5,509.0
233.0,509.5
233.5,510.1
234.0,510.6
234.5,511.2
235.0,511.7
235.5,512.3
236.0,512.8
236.5,513.3
237.0,513.9
237.5,514.4
238.0,515.0
238.5,515.5
239.0,516.1
239.5,516.6
240.0,517.1
240.5,517.7
241.0,518.2
241.5,518.8
242.0,519.3
242.5,519.8
243.0,520.4
243.5,520.9
244.0,521.5
244.5,522.0
245.0,522.5
245.5,523.1
246.0,523.6
246.5,524.2
247.0,524.7
247.5,525.2
248.0,525.8
248.5,526.3
249.0,526.8
249.5,527.4
250.0,527.9
250.5,528.4
251.0,529.0
251.5,529.5
252.0,530.0
252.5,530.6
253.0,531.1
253.5,531.6
254.0,532.2
254.5,532.7
255.0,533.2
255.5,533.7
256.0,534.3
256.5,534.8
257.0,535.3
257.5,535.9
258.0,536.4
258.5,536.9
259.0,537.4
259.5,538.0
260.0,538.5
260.5,539.0
261.0,539.5
261.5,540.1
262.0,540.6
262.5,541.1
263.0,541.6
263.5,542.1
264.0,542.7
264.5,543.2
265.0,543.7
265.5,544.2
266.0,544.7
266.5,545.3
267.0,545.8
267.5,546.3
268.0,546.8
268.5,547.3
269.0,547.8
269.5,548.3
270.0,548.8
270.5,549.4
271.0,549.9
271.5,550.4
272.0,550.9
272.5,551.4
273.0,551.9
273.5,552.4
274.0,552.9
274.5,553.4
275.0,553.9
275.5,554.4
276.0,554.9
276.5,555.4
277.0,555.9
277.5,556.4
278.0,556.9
278.5,557.4
279.0,557.9
279.5,558.4
280.0,558.9
280.5,559.4
281.0,559.9
281.5,560.4
282.0,560.9
282.5,561.4
283.0,561.9
283.5,562.3
284.0,562.8
284.5,563.3
285.0,563.8
285.5,564.3
286.0,564.8
286.5,565.3
287.0,565.7
287.5,566.2
288.0,566.7
288.5,567.2
289.0,567.7
289.5,568.1
290.0,568.6
290.5,569.1
291.0,569.6
291.5,570.0
292.0,570.5
292.5,571.0
293.0,571.4
293.5,571.9
294.0,572.4
294.5,572.8
295.0,573.3
295.5,573.8
296.0,574.2
296.5,574.7
297.0,575.1
297.5,575.6
298.0,576.0
298.5,576.5
299.0,577.0
299.5,577.4
300.0,577.9
300.5,578.3
301.0,578.8
301.5,579.2
302.0,579.6
302.5,580.1
303.0,580.5
303.5,581.0
304.0,581.4
304.5,581.9
305.0,582.3
305.5,582.7
306.0,583.2
306.5,583.6
307.0,584.0
307.5,584.5
308.0,584.9
308.5,585.3
309.0,585.7
309.5,586.2
310.0,586.6
310.5,587.0
311.0,587.4
311.5,587.9
312.0,588.3
312.5,588.7
313.0,589.1
313.5,589.5
314.0,589.9
314.5,590.3
315.0,590.7
315.5,591.2
316.0,591.6
316.5,592.0
317.0,592.4
317.5,592.8
318.0,593.2
318.5,593.6
319.0,594.0
319.5,594.4
320.0,594.8
320.5,595.2
321.0,595.6
321.5,595.9
322.0,596.3
322.5,596.7
323.0,597.1
323.5,597.5
324.0,597.9
324.5,598.3
325.0,598.7
325.5,599.0
326.0,599.4
326.5,599.8
327.0,600.2
327.5,600.6
328.0,600.9
328.5,601.3
329.0,601.7
329.5,602.1
330.0,602.4
330.5,602.8
331.0,603.2
331.5,603.6
332.0,603.9
332.5,604.3
333.0,604.7
333.5,605.0
334.0,605.4
334.5,605.8
335.0,606.1
335.5,606.5
336.0,606.9
336.5,607.2
337.0,607.6
337.5,607.9
338.0,608.3
338.5,608.7
