Time(s),Temperature (K),Mass (mg)
1826.9502,313.005,4.762299971
1829.9502,313.026,4.762400027
1832.9502,313.006,4.762500083
1835.9502,313.012,4.762500083
1838.9502,313.008,4.762500083
1841.9502,313.003,4.762500083
1844.9502,313.021,4.762500083
1847.9502,313.002,4.76260014
1850.9502,313.003,4.762700196
1853.9502,313.017,4.762800252
1856.9502,313.022,4.762899801
1859.9502,313.002,4.762999857
1862.9502,313.011,4.763099913
1865.9502,313.007,4.76319997
1868.9502,313.013,4.763300026
1871.9502,313.027,4.763400082
1874.9502,313.027,4.763600195
1877.9502,313.021,4.764400137
1880.9502,313.021,4.764400137
1883.9502,313.022,4.762999857
1886.9502,313.03,4.762099858
1890.0498,313.033,4.762099858
1890.3498,313.032,4.761800197
1890.6498,313.037,4.761900254
1890.9498,313.03,4.761900254
1891.2498,313.021,4.761900254
1891.5498,313.032,4.761900254
1891.8498,313.026,4.761900254
1892.1498,313.04,4.761999802
1892.4498,313.033,4.761999802
1892.7498,313.034,4.761999802
1893.0498,313.029,4.761999802
1893.3498,313.021,4.761999802
1893.6498,313.027,4.761999802
1893.9498,313.026,4.762099858
1894.2498,313.021,4.762099858
1894.5498,313.036,4.762099858
1894.8498,313.041,4.762099858
1895.1498,313.043,4.762099858
1895.4498,313.026,4.762199915
1895.7498,313.037,4.762199915
1896.0498,313.026,4.762199915
1896.3498,313.03,4.762199915
1896.6498,313.02,4.762199915
1896.9498,313.043,4.762199915
1897.2498,313.026,4.762199915
1897.5498,313.025,4.762199915
1897.8498,313.023,4.762199915
1898.1498,313.029,4.762199915
1898.4498,313.036,4.762099858
1898.7498,313.03,4.762199915
1899.0498,313.04,4.762199915
1899.3498,313.033,4.762099858
1899.6498,313.041,4.762099858
1899.9498,313.043,4.762099858
1900.2498,313.046,4.761999802
1900.5498,313.036,4.762099858
1900.8498,313.039,4.762099858
1901.1498,313.033,4.761999802
1901.4498,313.029,4.761999802
1901.7498,313.043,4.761900254
1902.0498,313.023,4.761999802
1902.3498,313.031,4.761999802
1902.6498,313.04,4.761900254
1902.9498,313.035,4.761900254
1903.2498,313.02,4.761900254
1903.5498,313.027,4.761900254
1903.8498,313.029,4.761900254
1904.1498,313.041,4.761800197
1904.4498,313.034,4.761800197
1904.7498,313.033,4.761800197
1905.0498,313.05,4.761700141
1905.3498,313.036,4.761800197
1905.6498,313.034,4.761700141
1905.9498,313.04,4.761700141
1906.2498,313.04,4.761700141
1906.5498,313.036,4.761600085
1906.8498,313.037,4.761700141
1907.1498,313.039,4.761600085
1907.4498,313.036,4.761600085
1907.7498,313.034,4.761600085
1908.0498,313.037,4.761500028
1908.3498,313.049,4.761500028
1908.6498,313.039,4.761399972
1908.9498,313.05,4.761500028
1909.2498,313.043,4.761500028
1909.5498,313.03,4.761399972
1909.8498,313.037,4.761399972
1910.1498,313.049,4.761399972
1910.4498,313.036,4.761299916
1910.7498,313.035,4.761299916
1911.0498,313.044,4.761199859
1911.3498,313.035,4.761199859
1911.6498,313.051,4.761199859
1911.9498,313.036,4.761099803
1912.2498,313.049,4.761099803
1912.5498,313.059,4.761099803
1912.8498,313.038,4.761099803
1913.1498,313.052,4.761099803
1913.4498,313.049,4.760999747
1913.7498,313.048,4.760999747
1914.0498,313.047,4.760999747
1914.3498,313.052,4.760999747
1914.6498,313.054,4.760999747
