Time,Mass
[s],[g]
1333,0.480046
1334,0.230682
1335,0.383413
1336,0.224656
1337,0.275264
1338,0.29004
1339,0.228926
1340,0.329996
1341,0.207388
1342,0.264127
1343,0.276651
1344,0.124979
1345,0.197579
1346,0.120376
1347,0.195415
1348,0.184656
1349,0.122202
1350,0.366437
1351,0.117766
1352,0.310022
1353,0.132672
1354,0.336325
1355,0.086646
1356,0.321281
1357,0.127676
1358,0.18996
1359,0.226534
1360,0.071138
1361,0.219099
1362,-0.023605
1363,0.213585
1364,0.058307
1365,0.153264
1366,0.174008
1367,0.005836
1368,0.145624
1369,0.043004
1370,0.185299
1371,0.067185
1372,0.072621
1373,0.16547
1374,-0.027705
1375,0.051334
1376,-0.014775
1377,-0.0156
1378,0.067279
1379,0.05879
1380,0.029428
1381,-0.062373
1382,0.070101
1383,0.012807
1384,0.08133
1385,0.001533
1386,0.016901
1387,0.053741
1388,0.047322
1389,0.073008
1390,-0.064872
1391,0.021532
1392,-0.062987
1393,-0.095067
1394,0.001267
1395,-0.068849
1396,-0.009059
1397,-0.076892
1398,-0.034502
1399,-0.098934
1400,-0.053085
1401,0.098203
1402,-0.090931
1403,0.056854
1404,-0.004344
1405,-0.131973
1406,-0.037428
1407,-0.162876
1408,-0.150571
1409,-0.028436
1410,-0.228084
1411,-0.12031
1412,0.052955
1413,-0.06534
1414,-0.231613
1415,-0.105205
1416,-0.142565
1417,-0.073466
1418,-0.089346
1419,-0.23601
1420,-0.164963
1421,-0.289278
1422,0.004945
1423,-0.125299
1424,-0.253313
1425,-0.058867
1426,-0.157544
1427,-0.113397
1428,-0.196275
1429,-0.074422
1430,-0.175379
1431,-0.155356
1432,-0.236307
1433,-0.101737
1434,-0.197948
1435,-0.120214
1436,-0.316758
1437,-0.144662
1438,-0.267106
1439,-0.128238
1440,-0.218547
1441,-0.15497
1442,-0.207171
1443,-0.205451
1444,-0.084583
1445,-0.39078
1446,-0.117217
1447,-0.29135
1448,-0.099738
1449,-0.330996
1450,-0.134838
1451,-0.33164
1452,-0.230382
1453,-0.301013
1454,-0.243941
1455,-0.281728
1456,-0.204648
1457,-0.267353
1458,-0.214774
1459,-0.438953
1460,-0.263739
1461,-0.298913
1462,-0.255933
1463,-0.294217
1464,-0.321633
1465,-0.190512
1466,-0.295528
1467,-0.22789
1468,-0.247597
1469,-0.358866
1470,-0.343178
1471,-0.357149
1472,-0.383324
1473,-0.383643
