Time,Mass,HRR,Back Surface Temperature
[s],[g],[kW/m2],[K]
429,5.306792,603.6930397,616.826
430,5.209493,601.0399215,617.538
431,5.120317,598.7705897,618.147
432,5.002912,604.0782265,618.988
433,4.905349,596.0540243,620.45
434,4.826108,584.1641201,621.893
435,4.732722,591.8369583,622.578
436,4.632814,605.9914876,623.399
437,4.53872,613.1685582,624.922
438,4.451381,603.503922,625.636
439,4.364487,590.9691795,626.478
440,4.268799,598.7284435,628.061
441,4.16012,605.8561932,628.791
442,4.071621,590.846785,629.68
443,3.991099,592.0192132,631.306
444,3.895083,604.4052879,632.079
445,3.782762,606.2414116,632.991
446,3.685391,603.8119801,634.705
447,3.609403,599.3713899,635.506
448,3.524994,588.9785449,636.601
449,3.42086,578.1261638,638.741
450,3.310461,572.309912,639.759
451,3.231281,569.6757059,641.057
452,3.160342,577.9165272,643.441
453,3.061481,585.0917176,646.038
454,2.965599,585.6997119,647.36
455,2.890804,568.9408301,648.821
456,2.820042,566.1400781,651.553
457,2.736001,574.720196,652.81
458,2.628798,562.3521975,654.476
459,2.538994,562.3270242,657.965
460,2.475627,564.3567412,659.709
461,2.39727,557.3801872,662.109
462,2.286236,537.8375007,666.261
463,2.206634,517.3293254,668.046
464,2.138927,521.3777663,670.431
465,2.041269,530.0991733,674.544
466,1.951816,516.9436284,678.663
467,1.886611,517.169535,680.717
468,1.818281,514.4182338,684.367
469,1.724355,498.6796731,690.569
470,1.633744,487.1007532,693.199
471,1.574938,465.0565581,696.377
472,1.529422,434.0129897,702.189
473,1.458897,407.5972682,704.891
474,1.382545,396.0602708,709.03
475,1.35462,383.7485733,717.285
476,1.313218,357.6875374,721.202
477,1.234096,343.9240672,730.124
478,1.178377,334.9058546,753.216
479,1.141937,321.0402717,777.565
480,1.10519,307.3878971,798.338
481,1.035442,303.1497847,811.812
482,1.01064,286.734514,823.752
483,0.980225,280.6247722,833.627
484,0.938281,274.3721197,848.93
485,0.882324,263.8071105,860.634
486,0.839532,258.5162818,865.468
487,0.798562,256.8055828,869.994
488,0.761921,251.2903055,876.302
489,0.715866,243.1445997,878.321
490,0.670948,238.48351,881.216
491,0.639498,234.9060044,892.867
492,0.611502,224.00979,900.3
493,0.586233,217.5240836,900.683
494,0.558735,209.7593124,901.396
495,0.49929,197.6941373,911.97
496,0.494944,191.4981912,918.422
497,0.468695,185.9267009,926.354
498,0.450105,177.1096841,928.373
499,0.431305,173.290113,929.015
500,0.394683,167.1579091,932.171
501,0.363897,157.3295944,940.345
502,0.348781,154.1707337,945.422
503,0.317482,150.3648489,953.947
504,0.276274,138.4644181,964.544
505,0.257671,126.6866605,967.342
506,0.247483,122.9043307,968.585
507,0.231654,118.9479049,969.685
508,0.209694,110.7230779,969.73
509,0.192242,107.0289514,969.261
510,0.179088,104.3615361,967.801
511,0.162394,98.76568221,966.957
512,0.139846,95.14819004,965.236
513,0.112382,92.28183581,962.409
514,0.104483,85.2517804,961.221
515,0.106258,80.47652101,957.209
516,0.094224,74.98597359,950.052
517,0.097622,65.90705789,945.521
518,0.080997,62.66894991,944.48
519,0.054992,60.56778553,941.235
520,0.073249,52.50604624,934.715
521,0.082733,45.55423968,931.577
522,0.055099,42.57532646,929.774
523,0.038569,40.07600581,926.384
524,0.054631,36.48114633,924.717
525,0.067,35.31250264,921.051
526,0.056129,32.37466185,907.195
527,0.048609,27.21719932,898.085
528,0.041904,24.87750695,885.393
529,0.017161,23.18655542,862.568
530,-0.024427,20.41665594,853.043
531,-0.055708,19.13223185,842.391
532,-0.059734,16.74762188,823.198
533,-0.063897,13.16696695,807.041
534,-0.116602,11.85336379,800.354
535,-0.136774,10.68079421,794.136
536,-0.053982,8.293428131,784.256
537,0.008092,6.335399475,779.978
538,0.025665,5.66206917,774.693
539,0.032411,5.74743097,765.273
540,0.016854,4.453771361,761.231
541,-0.005754,3.25994756,757.875
542,0.002447,3.035128987,751.982
543,0.021063,2.764317023,749.489
544,0.005709,2.666829243,747.186
545,0.008141,1.554544311,742.435
546,0.023553,0.845291086,740.119
547,0.001209,1.118152184,738.123
548,-0.02831,1.45759323,734.906
549,0.015649,0.287733935,732.14
550,0.044148,-1.112965739,730.879
551,0.012327,-1.294102246,729.829
552,-0.004544,-1.462331521,727.459
553,-0.004949,-1.482251797,726.136
554,-0.010402,-1.387421598,725.292
555,-0.011252,-1.323299181,724.171
556,-0.005959,-1.03520969,723.827
557,-0.008664,-0.75229623,723.081
558,-0.014663,-0.442235959,721.658
559,-0.011659,-0.173985632,721.004
