Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K]
482,-2.1,0,891,840
483,-2.1,0,895,829
484,-2.1,0,898,817
485,-2.1,0,899,832
486,-2.1,0,902,837
487,-2.11,0,900,834
488,-2.11,0,896,855
489,-2.11,0,890,854
490,-2.09,0,886,840
491,-2.07,0,892,845
492,-2.09,0,895,847
493,-2.09,0,896,834
494,-2.06,0,898,845
495,-2.03,0,899,849
496,-2.03,0,896,850
497,-2.04,0.4,897,847
498,-2.09,0.4,902,835
499,-2.07,0.9,904,847
500,-2.07,0.9,897,858
501,-2.08,0.9,899,851
502,-2.08,0.9,897,844
503,-2.08,0.9,887,846
504,-2.06,6.2,883,858
505,-2.08,0.9,887,851
506,-2.07,0.9,884,861
507,-2.07,0.4,881,854
508,-2.03,0.4,881,854
509,-2.03,0.4,885,851
510,-2.02,0,887,851
511,-2.02,0,894,852
